Genome	Completeness	Contamination	Strain heterogeneity	GUNC pass	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	# predicted genes	5S rRNA	23S rRNA	16S rRNA	# tRNA	# tRNA types
STP672.12605_R.bin.49	93.95	4.59	70.0	True	3228520	0	337	337	12962	12962	9580	9580	56781	56781	51.6	2.33	90.62	3195	No	No	No	36	17
STP672.12605_R.bin.50	97.17	1.11	0.0	True	2613798	0	71	71	63567	63567	36814	36814	161707	161707	37.5	1.85	88.34	2593	No	No	No	37	21
STP672.12605_R.bin.51	94.3	0.34	100.0	True	2255511	0	148	148	22980	22980	15239	15239	80509	80509	63.1	2.49	89.32	2195	Yes	No	Yes	33	17
STP672.12605_R.bin.53	86.61	3.9	88.89	True	4380034	0	586	586	11088	11088	7474	7474	52544	52544	47.7	2.94	88.36	4250	No	No	No	34	18
STP672.12605_R.bin.54	65.15	3.67	0.0	True	2557382	0	675	675	4302	4302	3788	3788	29874	29874	56.8	2.3	88.55	2583	No	No	No	13	11
STP672.12605_R.bin.60	93.24	4.05	0.0	True	3834855	0	30	30	204094	204094	127828	127828	428378	428378	46.0	1.98	88.4	3386	No	No	No	35	18
STP672.12605_R.bin.62	91.32	0.37	0.0	True	4962076	0	101	101	88895	88895	49129	49129	262060	262060	44.6	2.45	90.72	3981	Yes	No	No	60	21
STP672.12605_R.bin.63	98.46	0.32	0.0	True	4394260	0	45	45	156406	156406	97650	97650	455885	455885	51.0	1.94	87.71	3265	No	No	No	48	21
STP672.12605_R.bin.64	85.14	0.0	0.0	True	2859191	0	68	68	55668	55668	42046	42046	127048	127048	48.2	1.41	90.03	2721	No	No	Yes	45	21
STP672.12605_R.bin.66	86.79	0.94	0.0	True	2961778	0	93	93	57843	57843	31847	31847	114758	114758	38.6	1.58	88.82	2744	Yes	No	No	36	20
STP672.12605_R.bin.7	94.74	2.83	0.0	True	3561999	0	104	104	80630	80630	34249	34249	212567	212567	43.6	1.55	89.49	3263	No	No	No	56	22
STP672.12605_R.bin.71	98.71	2.85	0.0	True	3521387	0	46	46	140228	140228	76551	76551	338116	338116	50.1	2.59	88.7	3031	No	No	Yes	53	20
STP672.12605_R.bin.72	96.64	0.67	0.0	True	3138798	0	87	87	70413	70413	36078	36078	251793	251793	42.4	1.72	86.1	2787	No	No	No	37	16
STP672.12605_R.bin.74	95.88	4.74	20.0	True	6445507	0	152	152	86632	86632	42404	42404	446835	446835	43.1	2.98	88.04	5232	Yes	No	No	68	21
STP672.12605_R.bin.76	66.08	0.13	0.0	True	2656340	0	33	33	104178	104178	80495	80495	309662	309662	50.3	1.73	84.8	2048	Yes	No	No	35	18
STP672.12605_R.bin.78	78.22	1.7	0.0	True	2148716	0	549	549	4318	4318	3913	3913	16109	16109	54.8	3.19	87.41	2361	Yes	No	No	25	16
STP672.12605_R.bin.79	97.96	4.42	0.0	True	2935358	0	15	15	442711	442711	195690	195690	589486	589486	58.4	1.15	88.72	2446	No	No	No	48	21
STP672.12605_R.bin.8	91.22	4.18	35.29	True	3937057	0	55	55	204738	204738	71582	71582	390270	390270	47.9	1.85	88.82	3192	Yes	No	Yes	49	20
STP672.12605_R.bin.80	86.23	1.67	25.0	True	1979307	0	419	419	5338	5338	4723	4723	23572	23572	59.5	2.34	84.35	1770	Yes	Yes	No	19	11
STP672.12605_R.bin.81	87.01	0.95	50.0	True	2370411	0	34	34	115845	115845	69717	69717	412232	412232	44.9	1.16	90.08	2135	No	No	No	31	18
STP672.12605_R.bin.82	89.74	0.85	0.0	True	2099109	0	15	15	309248	309248	139940	139940	516731	516731	38.3	1.59	91.75	2098	Yes	Yes	Yes	42	22
STP672.12605_R.bin.83	97.99	1.01	0.0	True	2809661	0	22	22	198599	198599	127711	127711	643692	643692	52.6	1.6	86.48	2538	Yes	No	No	46	20
STP672.12605_R.bin.84	97.47	2.06	0.0	True	4693104	0	134	134	72340	72340	35023	35023	249424	249424	45.0	2.5	88.6	4231	No	No	Yes	51	19
STP672.12605_R.bin.85	92.69	0.58	0.0	True	2986257	0	58	58	71877	71877	51487	51487	163785	163785	43.4	1.23	90.55	2821	No	No	No	44	21
STP672.12605_R.bin.86	50.78	0.0	0.0	True	3172943	0	751	751	4918	4918	4224	4224	24639	24639	48.1	2.78	90.52	2831	No	No	No	9	8
STP672.12605_R.bin.89	98.06	1.48	0.0	True	2945423	0	35	35	152626	152626	84154	84154	283782	283782	48.4	1.8	90.12	2730	No	No	Yes	46	21
STP672.12605_R.bin.90	83.11	0.34	0.0	True	1346495	0	19	19	101236	101236	70868	70868	316762	316762	56.5	1.14	89.05	1261	No	No	No	38	21
STP672.12605_R.bin.96	96.98	3.42	33.33	True	3318525	0	150	150	37682	37682	22123	22123	155952	155952	56.8	2.72	86.35	3053	Yes	No	No	56	20
