Genome	Completeness	Contamination	Strain heterogeneity	GUNC pass	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	# predicted genes	5S rRNA	23S rRNA	16S rRNA	# tRNA	# tRNA types
STP672.12605_R.bin.19	0.0	0.0	0.0	True	299666	0	2	2	244409	244409	149833	149833	244409	244409	49.9	0.27	84.97	294	No	No	No	0	0
STP672.12605_R.bin.2	33.46	0.13	0.0	True	1466631	0	13	13	122674	122674	112817	112817	344588	344588	48.1	1.16	85.3	1189	No	No	No	19	12
STP672.12605_R.bin.20	99.06	0.71	50.0	True	2488644	0	95	95	41058	41058	26196	26196	115624	115624	32.4	1.9	90.69	2490	Yes	No	No	40	18
STP672.12605_R.bin.21	100.0	196.47	72.96	True	9984756	0	243	243	66553	66553	41089	41089	360188	360188	64.1	2.52	88.06	8629	Yes	No	Yes	151	23
STP672.12605_R.bin.22	45.96	3.51	0.0	True	1993597	0	588	588	3625	3625	3390	3390	13773	13773	52.1	2.4	92.06	2162	No	No	No	6	6
STP672.12605_R.bin.23	69.4	1.57	0.0	True	1442553	0	56	56	41367	41367	25759	25759	126505	126505	28.8	1.25	84.64	1520	Yes	No	No	34	18
STP672.12605_R.bin.24	94.35	2.22	0.0	True	3214520	0	67	67	67528	67528	47977	47977	207082	207082	60.2	1.75	86.43	2639	Yes	No	No	54	23
STP672.12605_R.bin.25	21.23	0.0	0.0	True	2262322	0	821	821	2811	2811	2755	2755	12364	12364	51.3	2.79	90.36	2388	No	No	No	5	5
STP672.12605_R.bin.26	74.44	3.86	25.0	True	2177663	0	626	626	3895	3895	3478	3478	14138	14138	38.5	2.13	90.68	2524	Yes	No	No	15	10
STP672.12605_R.bin.27	83.01	2.31	12.5	True	2562943	0	345	345	9803	9803	7428	7428	29767	29767	49.8	3.34	83.56	2467	Yes	No	No	28	17
STP672.12605_R.bin.28	81.34	5.61	23.53	True	2683435	0	436	436	8065	8065	6154	6154	37859	37859	52.7	2.05	92.51	2747	Yes	Yes	Yes	24	11
STP672.12605_R.bin.29	2.08	0.0	0.0	False	856836	0	189	189	5276	5276	4533	4533	27857	27857	40.8	1.89	88.77	943	No	No	No	7	6
STP672.12605_R.bin.3	98.71	5.06	8.33	True	3350981	0	37	37	182002	182002	90567	90567	354089	354089	51.7	1.43	89.95	3090	No	No	Yes	58	21
STP672.12605_R.bin.30	94.36	0.97	0.0	True	3538728	0	108	108	47824	47824	32766	32766	161990	161990	50.9	2.51	88.22	3141	No	No	No	37	18
STP672.12605_R.bin.31	92.41	2.74	0.0	False	4208586	0	163	163	86904	86904	25819	25819	369318	369318	39.0	2.15	82.77	4004	Yes	Yes	No	58	19
STP672.12605_R.bin.32	98.58	0.6	92.31	True	3483954	0	130	130	47580	47580	26799	26799	191835	191835	43.8	1.68	89.8	3319	No	No	No	52	21
STP672.12605_R.bin.33	86.21	0.95	50.0	True	2903470	0	57	57	74592	74592	50938	50938	273258	273258	48.7	1.82	88.87	2569	No	No	Yes	39	18
STP672.12605_R.bin.34	97.67	8.87	5.26	True	3858671	0	276	276	23730	23730	13980	13980	66743	66743	48.6	1.89	88.54	3594	Yes	No	No	46	22
STP672.12605_R.bin.35	96.05	1.61	50.0	True	3552337	0	67	67	90653	90653	53019	53019	233654	233654	60.1	1.94	87.58	3069	No	No	No	52	22
STP672.12605_R.bin.36	0.0	0.0	0.0	False	497494	0	49	49	21152	21152	10152	10152	83909	83909	35.3	2.16	82.78	614	No	No	No	9	5
STP672.12605_R.bin.37	95.57	2.06	60.0	True	3507156	0	120	120	44808	44808	29226	29226	131914	131914	50.7	2.09	90.3	3241	No	No	No	56	21
STP672.12605_R.bin.38	96.09	3.77	0.0	True	2773180	0	50	50	91272	91272	55463	55463	242354	242354	39.7	1.34	87.38	2446	Yes	No	Yes	42	22
STP672.12605_R.bin.39	19.94	1.75	0.0	True	637281	0	260	260	2488	2488	2451	2451	8930	8930	52.3	1.86	94.22	746	No	No	No	2	2
STP672.12605_R.bin.4	94.39	1.27	0.0	True	4071886	0	133	133	46800	46800	30615	30615	211841	211841	50.0	1.68	89.83	3707	No	No	No	35	17
STP672.12605_R.bin.40	81.63	1.34	50.0	True	2284663	0	422	422	7370	7370	5413	5413	31183	31183	43.5	1.98	90.7	2374	No	No	No	28	15
STP672.12605_R.bin.41	46.9	0.0	0.0	True	1056892	0	400	400	2680	2680	2642	2642	8483	8483	40.4	2.14	89.24	1299	No	No	No	6	6
STP672.12605_R.bin.42	79.66	13.79	100.0	True	3442207	0	95	95	72575	72575	36233	36233	224450	224450	26.8	1.77	87.63	3375	Yes	No	No	24	12
STP672.12605_R.bin.43	94.3	3.8	37.5	True	3168174	0	143	143	32287	32287	22155	22155	166972	166972	52.6	2.06	88.64	2828	No	No	Yes	54	20
STP672.12605_R.bin.44	98.28	98.94	16.33	False	5848851	0	1028	1028	7299	7299	5689	5689	71663	71663	65.4	2.85	87.94	5820	Yes	No	No	59	19
STP672.12605_R.bin.45	90.35	2.01	33.33	True	2610836	0	160	160	27835	27835	16317	16317	70841	70841	56.4	2.82	86.72	2535	Yes	No	No	36	17
STP672.12605_R.bin.46	4.17	0.0	0.0	False	409797	0	200	200	2039	2039	2048	2048	4305	4305	64.8	2.72	92.57	491	No	No	No	0	0
STP672.12605_R.bin.47	100.0	1.08	0.0	True	3391932	0	135	135	42465	42465	25125	25125	242288	242288	30.2	1.88	89.93	3393	No	No	No	48	22
STP672.12605_R.bin.48	7.24	0.0	0.0	True	423003	0	142	142	3033	3033	2978	2978	6799	6799	50.9	1.23	85.9	352	No	No	No	1	1
STP672.12605_R.bin.49	93.95	4.59	70.0	True	3228520	0	337	337	12962	12962	9580	9580	56781	56781	51.6	2.33	90.62	3195	No	No	No	36	17
STP672.12605_R.bin.5	0.0	0.0	0.0	True	679839	0	6	6	172810	172810	113306	113306	261888	261888	26.9	0.46	88.23	758	No	No	No	49	22
STP672.12605_R.bin.50	97.17	1.11	0.0	True	2613798	0	71	71	63567	63567	36814	36814	161707	161707	37.5	1.85	88.34	2593	No	No	No	37	21
STP672.12605_R.bin.51	94.3	0.34	100.0	True	2255511	0	148	148	22980	22980	15239	15239	80509	80509	63.1	2.49	89.32	2195	Yes	No	Yes	33	17
STP672.12605_R.bin.52	0.0	0.0	0.0	False	248831	0	84	84	2904	2904	2962	2962	8894	8894	66.5	2.12	98.99	96	No	No	No	0	0
STP672.12605_R.bin.53	86.61	3.9	88.89	True	4380034	0	586	586	11088	11088	7474	7474	52544	52544	47.7	2.94	88.36	4250	No	No	No	34	18
STP672.12605_R.bin.54	65.15	3.67	0.0	True	2557382	0	675	675	4302	4302	3788	3788	29874	29874	56.8	2.3	88.55	2583	No	No	No	13	11
STP672.12605_R.bin.55	12.07	0.0	0.0	True	411791	0	5	5	148237	148237	82358	82358	171796	171796	42.2	0.57	85.59	343	No	No	No	2	1
STP672.12605_R.bin.56	20.41	3.51	0.0	True	1821175	0	743	743	2457	2457	2451	2451	9453	9453	51.7	2.46	91.89	2118	No	No	No	6	5
STP672.12605_R.bin.57	8.42	5.26	42.86	True	758308	0	13	13	80363	80363	58331	58331	146720	146720	48.4	1.36	88.33	663	No	No	No	8	6
STP672.12605_R.bin.58	89.22	185.47	3.04	False	9364287	0	3930	3930	2379	2379	2382	2382	13761	13761	65.0	3.38	90.8	10687	No	No	No	27	13
STP672.12605_R.bin.59	0.0	0.0	0.0	True	238354	0	109	109	2152	2152	2186	2186	5900	5900	62.0	2.17	91.24	275	No	No	No	0	0
STP672.12605_R.bin.6	5.26	0.0	0.0	False	1331130	0	431	431	3459	3459	3088	3088	12584	12584	39.5	2.1	86.69	1713	No	No	No	18	10
STP672.12605_R.bin.60	93.24	4.05	0.0	True	3834855	0	30	30	204094	204094	127828	127828	428378	428378	46.0	1.98	88.4	3386	No	No	No	35	18
STP672.12605_R.bin.61	4.09	0.0	0.0	False	1696070	0	260	260	10255	10255	6523	6523	85221	85221	36.1	2.24	84.9	1947	No	No	No	35	16
STP672.12605_R.bin.62	91.32	0.37	0.0	True	4962076	0	101	101	88895	88895	49129	49129	262060	262060	44.6	2.45	90.72	3981	Yes	No	No	60	21
STP672.12605_R.bin.63	98.46	0.32	0.0	True	4394260	0	45	45	156406	156406	97650	97650	455885	455885	51.0	1.94	87.71	3265	No	No	No	48	21
STP672.12605_R.bin.64	85.14	0.0	0.0	True	2859191	0	68	68	55668	55668	42046	42046	127048	127048	48.2	1.41	90.03	2721	No	No	Yes	45	21
STP672.12605_R.bin.65	7.02	0.0	0.0	True	207967	0	80	80	2569	2569	2599	2599	7241	7241	51.3	1.57	91.34	263	No	No	No	0	0
STP672.12605_R.bin.66	86.79	0.94	0.0	True	2961778	0	93	93	57843	57843	31847	31847	114758	114758	38.6	1.58	88.82	2744	Yes	No	No	36	20
STP672.12605_R.bin.67	39.47	3.51	0.0	True	2488376	0	963	963	2605	2605	2583	2583	10746	10746	49.4	2.28	93.02	2900	No	No	No	8	8
STP672.12605_R.bin.68	30.34	0.0	0.0	True	1040133	0	372	372	2849	2849	2796	2796	9266	9266	49.6	2.22	93.58	1220	No	No	No	6	5
STP672.12605_R.bin.69	43.1	0.0	0.0	False	2306106	0	87	87	66428	66428	26506	26506	246233	246233	26.6	2.13	87.3	2308	Yes	No	No	10	7
STP672.12605_R.bin.7	94.74	2.83	0.0	True	3561999	0	104	104	80630	80630	34249	34249	212567	212567	43.6	1.55	89.49	3263	No	No	No	56	22
STP672.12605_R.bin.70	0.0	0.0	0.0	True	250549	0	43	43	8167	8167	5826	5826	27971	27971	57.6	1.85	85.8	307	No	No	No	7	7
STP672.12605_R.bin.71	98.71	2.85	0.0	True	3521387	0	46	46	140228	140228	76551	76551	338116	338116	50.1	2.59	88.7	3031	No	No	Yes	53	20
STP672.12605_R.bin.72	96.64	0.67	0.0	True	3138798	0	87	87	70413	70413	36078	36078	251793	251793	42.4	1.72	86.1	2787	No	No	No	37	16
STP672.12605_R.bin.73	0.0	0.0	0.0	True	213869	0	77	77	2802	2802	2777	2777	6193	6193	54.7	1.37	95.17	241	No	No	No	0	0
STP672.12605_R.bin.74	95.88	4.74	20.0	True	6445507	0	152	152	86632	86632	42404	42404	446835	446835	43.1	2.98	88.04	5232	Yes	No	No	68	21
STP672.12605_R.bin.75	8.77	0.0	0.0	True	208847	0	6	6	126071	126071	34807	34807	126071	126071	40.9	0.61	82.03	218	No	No	No	12	8
STP672.12605_R.bin.76	66.08	0.13	0.0	True	2656340	0	33	33	104178	104178	80495	80495	309662	309662	50.3	1.73	84.8	2048	Yes	No	No	35	18
STP672.12605_R.bin.77	0.0	0.0	0.0	True	267570	0	16	16	23358	23358	16723	16723	62962	62962	36.7	1.21	86.16	328	No	No	No	27	12
STP672.12605_R.bin.78	78.22	1.7	0.0	True	2148716	0	549	549	4318	4318	3913	3913	16109	16109	54.8	3.19	87.41	2361	Yes	No	No	25	16
STP672.12605_R.bin.79	97.96	4.42	0.0	True	2935358	0	15	15	442711	442711	195690	195690	589486	589486	58.4	1.15	88.72	2446	No	No	No	48	21
STP672.12605_R.bin.8	91.22	4.18	35.29	True	3937057	0	55	55	204738	204738	71582	71582	390270	390270	47.9	1.85	88.82	3192	Yes	No	Yes	49	20
STP672.12605_R.bin.80	86.23	1.67	25.0	True	1979307	0	419	419	5338	5338	4723	4723	23572	23572	59.5	2.34	84.35	1770	Yes	Yes	No	19	11
STP672.12605_R.bin.81	87.01	0.95	50.0	True	2370411	0	34	34	115845	115845	69717	69717	412232	412232	44.9	1.16	90.08	2135	No	No	No	31	18
STP672.12605_R.bin.82	89.74	0.85	0.0	True	2099109	0	15	15	309248	309248	139940	139940	516731	516731	38.3	1.59	91.75	2098	Yes	Yes	Yes	42	22
STP672.12605_R.bin.83	97.99	1.01	0.0	True	2809661	0	22	22	198599	198599	127711	127711	643692	643692	52.6	1.6	86.48	2538	Yes	No	No	46	20
STP672.12605_R.bin.84	97.47	2.06	0.0	True	4693104	0	134	134	72340	72340	35023	35023	249424	249424	45.0	2.5	88.6	4231	No	No	Yes	51	19
STP672.12605_R.bin.85	92.69	0.58	0.0	True	2986257	0	58	58	71877	71877	51487	51487	163785	163785	43.4	1.23	90.55	2821	No	No	No	44	21
STP672.12605_R.bin.86	50.78	0.0	0.0	True	3172943	0	751	751	4918	4918	4224	4224	24639	24639	48.1	2.78	90.52	2831	No	No	No	9	8
STP672.12605_R.bin.87	32.76	1.72	100.0	True	2815618	0	541	541	6600	6600	5204	5204	30464	30464	48.3	2.54	90.32	2398	Yes	No	No	14	9
STP672.12605_R.bin.88	100.0	295.13	7.35	False	7471668	0	2807	2807	2685	2685	2661	2661	33062	33062	30.5	3.23	87.41	9428	Yes	No	Yes	97	22
STP672.12605_R.bin.89	98.06	1.48	0.0	True	2945423	0	35	35	152626	152626	84154	84154	283782	283782	48.4	1.8	90.12	2730	No	No	Yes	46	21
STP672.12605_R.bin.9	4.17	0.0	0.0	True	369513	0	138	138	2738	2738	2677	2677	9892	9892	55.6	2.0	87.47	425	No	No	No	2	2
STP672.12605_R.bin.90	83.11	0.34	0.0	True	1346495	0	19	19	101236	101236	70868	70868	316762	316762	56.5	1.14	89.05	1261	No	No	No	38	21
STP672.12605_R.bin.91	81.19	80.67	91.67	True	9973085	0	428	428	44861	44861	23301	23301	324341	324341	44.3	2.97	90.47	8028	Yes	No	No	113	21
STP672.12605_R.bin.92	4.17	0.0	0.0	True	260138	0	123	123	2120	2120	2114	2114	4207	4207	43.1	1.79	90.18	322	No	No	No	0	0
STP672.12605_R.bin.93	0.0	0.0	0.0	True	208672	0	6	6	45521	45521	34778	34778	71500	71500	45.0	0.56	89.78	188	No	No	No	1	1
STP672.12605_R.bin.94	83.03	1.41	0.0	False	3258852	0	568	568	7843	7843	5737	5737	50030	50030	48.0	3.64	89.18	3385	Yes	No	No	33	16
STP672.12605_R.bin.95	6.84	0.93	0.0	True	503012	0	179	179	2872	2872	2810	2810	6777	6777	48.0	1.43	83.09	499	No	No	No	4	4
STP672.12605_R.bin.96	96.98	3.42	33.33	True	3318525	0	150	150	37682	37682	22123	22123	155952	155952	56.8	2.72	86.35	3053	Yes	No	No	56	20
STP672.12605_R.bin.97	84.49	2.13	20.0	False	3211292	0	669	669	5624	5624	4800	4800	28818	28818	47.4	2.55	90.37	3455	Yes	No	No	15	9
STP672.12605_R.bin.98	27.41	0.0	0.0	True	389496	0	149	149	2559	2559	2614	2614	10992	10992	60.4	2.28	91.48	452	No	No	No	0	0
STP672.12605_R.bin.99	44.43	0.0	0.0	True	2192564	0	616	616	4015	4015	3559	3559	29317	29317	66.7	2.77	88.98	2257	No	No	Yes	20	12
