k141_263172	2736290	species	Prevotella sp. PMUR	3	2	1	0.500	unknown;Bacteroidetes;Prevotellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella;-_unclassified Prevotella;s_Prevotella sp. PMUR
k141_19684	171549	order	Bacteroidales	11	11	8	0.520	unknown;Bacteroidetes;uc_Bacteroidales	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales
k141_21165	1239	phylum	Firmicutes	4	4	4	1.000	unknown;Firmicutes;uc_Firmicutes	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes
k141_243889	2	superkingdom	Bacteria	7	7	6	0.800	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_202528	1	no rank	root	179	157	157	1.000	unknown;unknown;unknown	-_root
k141_157149	2	superkingdom	Bacteria	58	50	32	0.610	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_335090	816	genus	Bacteroides	1	1	1	1.000	unknown;Bacteroidetes;Bacteroidaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides
k141_252730	2	superkingdom	Bacteria	15	14	8	0.540	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_300288	1	no rank	root	13	11	11	1.000	unknown;unknown;unknown	-_root
k141_302648	815	family	Bacteroidaceae	7	7	4	0.510	unknown;Bacteroidetes;Bacteroidaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae
k141_167399	1	no rank	root	290	252	252	1.000	unknown;unknown;unknown	-_root
k141_215435	1	no rank	root	252	217	217	1.000	unknown;unknown;unknown	-_root
k141_80696	1	no rank	root	208	188	188	1.000	unknown;unknown;unknown	-_root
k141_82260	816	genus	Bacteroides	3	3	2	0.520	unknown;Bacteroidetes;Bacteroidaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides
k141_347508	976	phylum	Bacteroidetes	22	20	11	0.530	unknown;Bacteroidetes;uc_Bacteroidetes	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes
k141_307571	186802	order	Eubacteriales	4	3	3	1.000	unknown;Firmicutes;uc_Eubacteriales	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales
k141_310841	1239	phylum	Firmicutes	4	4	3	0.670	unknown;Firmicutes;uc_Firmicutes	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes
k141_245439	1776384	species	Emergencia timonensis	1	1	1	1.000	unknown;Firmicutes;Eubacteriales Family XIII. Incertae Sedis	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales;-_Eubacteriales incertae sedis;f_Eubacteriales Family XIII. Incertae Sedis;g_Emergencia;s_Emergencia timonensis
k141_23529	1	no rank	root	105	90	90	1.000	unknown;unknown;unknown	-_root
k141_292365	186802	order	Eubacteriales	3	3	2	0.670	unknown;Firmicutes;uc_Eubacteriales	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales
k141_116803	1	no rank	root	53	45	45	1.000	unknown;unknown;unknown	-_root
k141_248050	200643	class	Bacteroidia	5	4	3	0.530	unknown;Bacteroidetes;uc_Bacteroidia	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia
k141_338829	2	superkingdom	Bacteria	50	44	29	0.620	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_249379	2	superkingdom	Bacteria	7	6	4	0.600	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_208471	1	no rank	root	33	28	28	1.000	unknown;unknown;unknown	-_root
k141_208481	1	no rank	root	10	10	10	1.000	unknown;unknown;unknown	-_root
k141_164570	2	superkingdom	Bacteria	52	46	27	0.560	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_235319	1	no rank	root	130	117	117	1.000	unknown;unknown;unknown	-_root
k141_56669	2	superkingdom	Bacteria	3	3	3	1.000	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_102764	186802	order	Eubacteriales	3	3	2	0.910	unknown;Firmicutes;uc_Eubacteriales	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales
k141_235571	1	no rank	root	200	167	167	1.000	unknown;unknown;unknown	-_root
k141_282741	816	genus	Bacteroides	6	6	3	0.500	unknown;Bacteroidetes;Bacteroidaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides
k141_104776	1	no rank	root	1	1	1	1.000	unknown;unknown;unknown	-_root
k141_104792	1	no rank	root	1	1	1	1.000	unknown;unknown;unknown	-_root
k141_14279	1	no rank	root	31	29	29	1.000	unknown;unknown;unknown	-_root
k141_284033	171549	order	Bacteroidales	11	11	6	0.570	unknown;Bacteroidetes;uc_Bacteroidales	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales
k141_196879	816	genus	Bacteroides	9	8	3	0.580	unknown;Bacteroidetes;Bacteroidaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides
k141_135723	1776382	species	Neglectibacter timonensis	2	2	1	0.500	unknown;Firmicutes;Oscillospiraceae	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Oscillospiraceae;g_Neglectibacter;s_Neglectibacter timonensis
k141_316818	1	no rank	root	12	11	11	1.000	unknown;unknown;unknown	-_root
k141_182426	1730	genus	Eubacterium	2	2	2	1.000	unknown;Firmicutes;Eubacteriaceae	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Eubacteriaceae;g_Eubacterium
k141_317111	1239	phylum	Firmicutes	5	5	4	0.800	unknown;Firmicutes;uc_Firmicutes	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes
k141_47931	2	superkingdom	Bacteria	11	11	9	0.820	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_273323	2	superkingdom	Bacteria	35	30	19	0.610	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_228336	1	no rank	root	11	9	9	1.000	unknown;unknown;unknown	-_root
k141_94535	1783272	clade	Terrabacteria group	4	4	2	0.500	unknown;unknown;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group
k141_94695	2	superkingdom	Bacteria	5	5	3	0.740	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_140483	1	no rank	root	16	14	14	1.000	unknown;unknown;unknown	-_root
