k141_146344	2049046	species	Porphyromonadaceae bacterium	3	2	1	0.500	unknown;Bacteroidetes;Porphyromonadaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Porphyromonadaceae;-_unclassified Porphyromonadaceae;s_Porphyromonadaceae bacterium
k141_530431	171550	family	Rikenellaceae	6	6	3	0.500	unknown;Bacteroidetes;Rikenellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae
k141_689855	2	superkingdom	Bacteria	2	1	1	1.000	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_823257	2	superkingdom	Bacteria	5	4	2	0.500	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_533199	171550	family	Rikenellaceae	5	4	2	0.500	unknown;Bacteroidetes;Rikenellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae
k141_691120	0	no rank	unclassified	2	0	0	0.000		
k141_1026685	2	superkingdom	Bacteria	4	3	2	0.670	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_851801	328812	species	Parabacteroides goldsteinii	3	2	1	0.500	unknown;Bacteroidetes;Tannerellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides goldsteinii
k141_414447	171550	family	Rikenellaceae	2	1	1	1.000	unknown;Bacteroidetes;Rikenellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae
k141_740274	2	superkingdom	Bacteria	13	12	6	0.500	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_854239	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_742077	976	phylum	Bacteroidetes	8	7	5	0.610	unknown;Bacteroidetes;uc_Bacteroidetes	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes
k141_742871	28111	species	Bacteroides eggerthii	3	3	2	0.670	unknown;Bacteroidetes;Bacteroidaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides eggerthii
k141_742955	976	phylum	Bacteroidetes	9	8	4	0.570	unknown;Bacteroidetes;uc_Bacteroidetes	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes
k141_418730	171550	family	Rikenellaceae	5	4	2	0.500	unknown;Bacteroidetes;Rikenellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae
k141_419323	1	no rank	root	4	4	4	1.000	unknown;unknown;unknown	-_root
k141_951748	1	no rank	root	4	2	2	1.000	unknown;unknown;unknown	-_root
k141_800312	1	no rank	root	15	12	12	1.000	unknown;unknown;unknown	-_root
k141_349257	1	no rank	root	12	10	10	1.000	unknown;unknown;unknown	-_root
k141_954628	171549	order	Bacteroidales	13	12	6	0.650	unknown;Bacteroidetes;uc_Bacteroidales	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales
k141_660349	1	no rank	root	4	3	3	1.000	unknown;unknown;unknown	-_root
k141_504560	171550	family	Rikenellaceae	14	13	7	0.580	unknown;Bacteroidetes;Rikenellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae
k141_505529	1	no rank	root	1	1	1	1.000	unknown;unknown;unknown	-_root
k141_803035	1	no rank	root	2	2	2	1.000	unknown;unknown;unknown	-_root
k141_663477	1	no rank	root	7	7	7	1.000	unknown;unknown;unknown	-_root
k141_1104899	1	no rank	root	17	17	17	1.000	unknown;unknown;unknown	-_root
k141_644048	1	no rank	root	1	1	1	1.000	unknown;unknown;unknown	-_root
k141_335936	2030927	species	Bacteroidales bacterium	2	2	1	0.500	unknown;Bacteroidetes;unknown	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;-_unclassified Bacteroidales;s_Bacteroidales bacterium
k141_490920	1	no rank	root	4	4	4	1.000	unknown;unknown;unknown	-_root
k141_491305	171549	order	Bacteroidales	7	7	4	0.660	unknown;Bacteroidetes;uc_Bacteroidales	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales
k141_337048	2021391	species	Flavobacteriales bacterium	1	1	1	1.000	unknown;Bacteroidetes;unknown	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;-_unclassified Flavobacteriales;s_Flavobacteriales bacterium
k141_1092701	1	no rank	root	7	7	7	1.000	unknown;unknown;unknown	-_root
k141_791665	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_1093538	171549	order	Bacteroidales	15	12	6	0.500	unknown;Bacteroidetes;uc_Bacteroidales	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales
k141_1094491	2	superkingdom	Bacteria	10	8	6	0.750	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_182420	171550	family	Rikenellaceae	4	4	2	0.650	unknown;Bacteroidetes;Rikenellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae
k141_182471	1	no rank	root	5	5	5	1.000	unknown;unknown;unknown	-_root
k141_182517	2	superkingdom	Bacteria	6	5	3	0.600	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_182544	1	no rank	root	5	4	4	1.000	unknown;unknown;unknown	-_root
k141_34625	171550	family	Rikenellaceae	7	4	2	0.500	unknown;Bacteroidetes;Rikenellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae
k141_342491	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_35845	171550	family	Rikenellaceae	4	2	1	0.500	unknown;Bacteroidetes;Rikenellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae
k141_36023	1	no rank	root	2	2	2	1.000	unknown;unknown;unknown	-_root
k141_1097589	2	superkingdom	Bacteria	6	6	3	0.500	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_797164	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_38312	171549	order	Bacteroidales	11	8	4	0.500	unknown;Bacteroidetes;uc_Bacteroidales	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales
k141_664501	171549	order	Bacteroidales	2	2	1	0.960	unknown;Bacteroidetes;uc_Bacteroidales	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales
k141_191808	2	superkingdom	Bacteria	7	6	4	0.600	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_666273	1	no rank	root	7	7	7	1.000	unknown;unknown;unknown	-_root
k141_510650	2	superkingdom	Bacteria	3	2	1	0.500	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_806372	1	no rank	root	7	6	6	1.000	unknown;unknown;unknown	-_root
k141_961542	2	superkingdom	Bacteria	11	9	5	0.500	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_669143	2	superkingdom	Bacteria	8	6	4	0.670	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_963370	976	phylum	Bacteroidetes	4	3	2	0.670	unknown;Bacteroidetes;uc_Bacteroidetes	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes
k141_195210	976	phylum	Bacteroidetes	3	3	2	0.670	unknown;Bacteroidetes;uc_Bacteroidetes	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes
k141_1109931	1	no rank	root	4	3	3	1.000	unknown;unknown;unknown	-_root
k141_630849	2	superkingdom	Bacteria	4	4	2	0.500	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_172429	171549	order	Bacteroidales	2	2	1	0.500	unknown;Bacteroidetes;uc_Bacteroidales	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales
k141_933048	1	no rank	root	8	7	7	1.000	unknown;unknown;unknown	-_root
k141_481440	1	no rank	root	1	1	1	1.000	unknown;unknown;unknown	-_root
k141_172671	171549	order	Bacteroidales	4	4	2	0.500	unknown;Bacteroidetes;uc_Bacteroidales	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales
k141_482069	171550	family	Rikenellaceae	6	6	3	0.600	unknown;Bacteroidetes;Rikenellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae
k141_482687	171550	family	Rikenellaceae	3	1	1	1.000	unknown;Bacteroidetes;Rikenellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae
k141_1084543	1	no rank	root	2	2	2	1.000	unknown;unknown;unknown	-_root
k141_23467	976	phylum	Bacteroidetes	7	4	2	0.500	unknown;Bacteroidetes;uc_Bacteroidetes	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes
k141_483199	1	no rank	root	14	14	14	1.000	unknown;unknown;unknown	-_root
k141_1114782	1852878	species	Euryarchaeota archaeon ADurb.Bin294	3	2	1	0.500	unknown;Euryarchaeota;unknown	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_unclassified Euryarchaeota;s_Euryarchaeota archaeon ADurb.Bin294
k141_814443	1	no rank	root	5	4	4	1.000	unknown;unknown;unknown	-_root
k141_513535	1	no rank	root	5	5	5	1.000	unknown;unknown;unknown	-_root
k141_358567	1	no rank	root	5	4	4	1.000	unknown;unknown;unknown	-_root
k141_195759	171550	family	Rikenellaceae	4	3	2	0.670	unknown;Bacteroidetes;Rikenellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae
k141_195793	1	no rank	root	2	1	1	1.000	unknown;unknown;unknown	-_root
k141_965129	1	no rank	root	7	6	6	1.000	unknown;unknown;unknown	-_root
k141_360016	1433126	species	Mucinivorans hirudinis	2	2	1	0.500	unknown;Bacteroidetes;Rikenellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Mucinivorans;s_Mucinivorans hirudinis
k141_516277	2	superkingdom	Bacteria	7	6	5	0.800	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_673984	976	phylum	Bacteroidetes	7	6	3	0.500	unknown;Bacteroidetes;uc_Bacteroidetes	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes
k141_674081	1	no rank	root	1	1	1	1.000	unknown;unknown;unknown	-_root
k141_1113899	1	no rank	root	4	4	4	1.000	unknown;unknown;unknown	-_root
k141_292523	1	no rank	root	5	4	4	1.000	unknown;unknown;unknown	-_root
k141_142038	171550	family	Rikenellaceae	3	2	1	0.500	unknown;Bacteroidetes;Rikenellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae
k141_903748	1	no rank	root	4	4	4	1.000	unknown;unknown;unknown	-_root
k141_1198692	2	superkingdom	Bacteria	4	4	3	0.680	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_1199326	1470347	species	Alistipes ihumii	2	2	1	0.500	unknown;Bacteroidetes;Rikenellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes;s_Alistipes ihumii
k141_904739	1	no rank	root	6	6	6	1.000	unknown;unknown;unknown	-_root
k141_1200439	1	no rank	root	7	4	4	1.000	unknown;unknown;unknown	-_root
k141_906085	1433126	species	Mucinivorans hirudinis	2	2	1	0.500	unknown;Bacteroidetes;Rikenellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Mucinivorans;s_Mucinivorans hirudinis
k141_906505	171549	order	Bacteroidales	3	2	1	0.500	unknown;Bacteroidetes;uc_Bacteroidales	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales
k141_1202173	171549	order	Bacteroidales	6	6	3	0.500	unknown;Bacteroidetes;uc_Bacteroidales	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales
k141_123418	1	no rank	root	2	2	2	1.000	unknown;unknown;unknown	-_root
k141_278685	2	superkingdom	Bacteria	11	9	6	0.670	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_889060	976	phylum	Bacteroidetes	9	8	4	0.500	unknown;Bacteroidetes;uc_Bacteroidetes	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes
k141_1184641	2	superkingdom	Bacteria	11	9	5	0.560	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_131106	1	no rank	root	10	10	10	1.000	unknown;unknown;unknown	-_root
k141_131496	976	phylum	Bacteroidetes	4	4	3	0.670	unknown;Bacteroidetes;uc_Bacteroidetes	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes
k141_131608	976	phylum	Bacteroidetes	1	1	1	1.000	unknown;Bacteroidetes;uc_Bacteroidetes	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes
k141_132621	1	no rank	root	7	7	7	1.000	unknown;unknown;unknown	-_root
k141_290077	976	phylum	Bacteroidetes	5	5	4	0.760	unknown;Bacteroidetes;uc_Bacteroidetes	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes
k141_900463	1	no rank	root	4	4	4	1.000	unknown;unknown;unknown	-_root
k141_865381	171550	family	Rikenellaceae	3	3	2	0.670	unknown;Bacteroidetes;Rikenellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae
k141_591500	976	phylum	Bacteroidetes	10	9	7	0.750	unknown;Bacteroidetes;uc_Bacteroidetes	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes
k141_592463	1	no rank	root	3	2	2	1.000	unknown;unknown;unknown	-_root
k141_1474	976	phylum	Bacteroidetes	3	1	1	1.000	unknown;Bacteroidetes;uc_Bacteroidetes	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes
k141_910179	1	no rank	root	6	4	4	1.000	unknown;unknown;unknown	-_root
k141_3591	171549	order	Bacteroidales	2	1	1	1.000	unknown;Bacteroidetes;uc_Bacteroidales	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales
k141_912519	976	phylum	Bacteroidetes	13	12	8	0.710	unknown;Bacteroidetes;uc_Bacteroidetes	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes
k141_761972	1898105	species	Paludibacter sp.	2	2	1	0.500	unknown;Bacteroidetes;Paludibacteraceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Paludibacteraceae;g_Paludibacter;-_unclassified Paludibacter;s_Paludibacter sp.
k141_307362	171549	order	Bacteroidales	7	6	3	0.590	unknown;Bacteroidetes;uc_Bacteroidales	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales
k141_1066151	1	no rank	root	6	5	5	1.000	unknown;unknown;unknown	-_root
k141_387147	2	superkingdom	Bacteria	3	3	3	1.000	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_541874	0	no rank	unclassified	4	0	0	0.000		
k141_701920	171550	family	Rikenellaceae	3	2	1	0.500	unknown;Bacteroidetes;Rikenellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae
k141_996107	171550	family	Rikenellaceae	4	2	1	0.500	unknown;Bacteroidetes;Rikenellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae
k141_996197	976	phylum	Bacteroidetes	5	4	2	0.500	unknown;Bacteroidetes;uc_Bacteroidetes	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes
k141_388764	976	phylum	Bacteroidetes	15	13	7	0.540	unknown;Bacteroidetes;uc_Bacteroidetes	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes
k141_706045	171549	order	Bacteroidales	4	4	2	0.500	unknown;Bacteroidetes;uc_Bacteroidales	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales
k141_550385	200643	class	Bacteroidia	15	12	6	0.500	unknown;Bacteroidetes;uc_Bacteroidia	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia
k141_220110	1	no rank	root	5	4	4	1.000	unknown;unknown;unknown	-_root
k141_75676	976	phylum	Bacteroidetes	1	1	1	1.000	unknown;Bacteroidetes;uc_Bacteroidetes	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes
k141_985902	171549	order	Bacteroidales	3	3	2	0.670	unknown;Bacteroidetes;uc_Bacteroidales	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales
k141_535807	2	superkingdom	Bacteria	6	5	3	0.600	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_382154	1	no rank	root	4	4	4	1.000	unknown;unknown;unknown	-_root
k141_383278	171550	family	Rikenellaceae	3	3	2	0.670	unknown;Bacteroidetes;Rikenellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae
k141_1130157	1	no rank	root	8	7	7	1.000	unknown;unknown;unknown	-_root
k141_538831	1	no rank	root	8	7	7	1.000	unknown;unknown;unknown	-_root
k141_538967	239759	genus	Alistipes	17	15	14	0.920	unknown;Bacteroidetes;Rikenellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes
k141_829345	171550	family	Rikenellaceae	3	2	1	0.500	unknown;Bacteroidetes;Rikenellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae
k141_69655	171550	family	Rikenellaceae	2	1	1	1.000	unknown;Bacteroidetes;Rikenellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae
k141_700608	1	no rank	root	7	7	7	1.000	unknown;unknown;unknown	-_root
k141_435166	1	no rank	root	9	9	9	1.000	unknown;unknown;unknown	-_root
k141_1053928	1	no rank	root	14	10	10	1.000	unknown;unknown;unknown	-_root
k141_868469	1	no rank	root	5	3	3	1.000	unknown;unknown;unknown	-_root
k141_110600	1816676	species	Alistipes provencensis	2	2	1	0.500	unknown;Bacteroidetes;Rikenellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes;s_Alistipes provencensis
k141_869236	1	no rank	root	6	5	5	1.000	unknown;unknown;unknown	-_root
k141_1163783	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_111069	976	phylum	Bacteroidetes	10	7	4	0.500	unknown;Bacteroidetes;uc_Bacteroidetes	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes
k141_438491	976	phylum	Bacteroidetes	8	6	3	0.500	unknown;Bacteroidetes;uc_Bacteroidetes	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes
k141_1057145	976	phylum	Bacteroidetes	6	5	3	0.600	unknown;Bacteroidetes;uc_Bacteroidetes	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes
k141_439738	1	no rank	root	6	5	5	1.000	unknown;unknown;unknown	-_root
k141_118365	1	no rank	root	13	7	7	1.000	unknown;unknown;unknown	-_root
k141_878506	2	superkingdom	Bacteria	6	6	3	0.500	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_1173453	2	superkingdom	Bacteria	4	3	2	0.670	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_451442	68336	clade	Bacteroidetes/Chlorobi group	3	3	2	0.670	unknown;unknown;unknown	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group
k141_451559	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_880782	200643	class	Bacteroidia	15	12	6	0.500	unknown;Bacteroidetes;uc_Bacteroidia	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia
k141_1175944	2	superkingdom	Bacteria	6	5	3	0.510	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
