Genome	Completeness	Contamination	Strain heterogeneity	GUNC pass	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	# predicted genes	5S rRNA	23S rRNA	16S rRNA	# tRNA	# tRNA types
STP51B.12603_R.bin.139	92.73	0.67	0.0	True	2465235	0	117	117	30686	30686	21070	21070	103984	103984	58.0	1.83	90.57	2407	Yes	No	No	38	17
STP51B.12603_R.bin.140	63.64	1.49	0.0	True	2539599	0	255	255	17930	17930	9959	9959	77748	77748	44.4	1.67	90.9	2421	No	No	No	17	11
STP51B.12603_R.bin.141	97.21	0.69	20.0	True	3758817	0	255	255	23946	23946	14740	14740	103774	103774	66.5	1.96	88.81	3214	No	No	No	42	22
STP51B.12603_R.bin.144	82.38	0.67	100.0	True	2080754	0	355	355	7194	7194	5861	5861	32006	32006	60.1	2.37	89.82	2083	No	No	No	18	11
STP51B.12603_R.bin.146	62.73	0.0	0.0	True	1216722	0	333	333	4098	4098	3653	3653	11861	11861	49.2	2.39	91.79	1193	No	No	Yes	7	4
STP51B.12603_R.bin.150	87.09	1.08	33.33	True	1949950	0	138	138	20149	20149	14130	14130	60706	60706	43.5	1.64	93.75	1633	No	No	Yes	25	16
STP51B.12603_R.bin.151	92.07	7.61	38.46	True	2539858	0	42	42	94872	94872	60472	60472	298126	298126	57.7	1.87	91.35	2102	No	No	No	49	20
STP51B.12603_R.bin.152	93.64	0.6	33.33	True	4536076	0	72	72	84396	84396	63001	63001	238517	238517	48.2	1.39	85.97	4086	Yes	No	Yes	62	20
STP51B.12603_R.bin.153	93.17	0.0	0.0	True	2097628	0	218	218	11967	11967	9622	9622	51670	51670	46.0	2.05	89.34	1805	No	No	No	34	19
STP51B.12603_R.bin.154	96.31	1.34	50.0	True	3000004	0	310	310	14125	14125	9677	9677	65197	65197	58.3	2.0	83.14	2795	Yes	No	No	36	19
STP51B.12603_R.bin.157	88.06	4.3	40.0	True	2966980	0	117	117	41755	41755	25358	25358	142716	142716	44.0	1.76	88.14	2518	Yes	No	Yes	41	18
STP51B.12603_R.bin.158	95.67	7.94	54.76	True	2885171	0	233	233	20215	20215	12382	12382	81188	81188	52.3	2.14	88.47	2693	Yes	No	No	65	21
STP51B.12603_R.bin.159	57.67	0.17	0.0	True	1332213	0	263	263	6483	6483	5065	5065	18261	18261	34.2	1.53	92.51	1313	No	No	No	15	10
STP51B.12603_R.bin.16	73.72	3.02	0.0	True	2315096	0	93	93	38844	38844	24893	24893	153006	153006	38.1	1.41	89.51	2227	No	No	No	17	12
STP51B.12603_R.bin.162	93.61	8.6	28.0	True	2508406	0	47	47	94458	94458	53370	53370	188739	188739	57.8	1.7	91.98	2121	No	No	No	32	20
STP51B.12603_R.bin.166	96.42	5.38	45.45	True	3625345	0	75	75	85130	85130	48337	48337	274738	274738	42.8	1.81	89.0	2992	Yes	No	No	50	21
STP51B.12603_R.bin.168	87.5	3.33	30.77	True	3816444	0	75	75	68485	68485	50885	50885	164677	164677	47.5	1.56	91.47	3075	Yes	No	No	52	19
STP51B.12603_R.bin.19	93.68	2.87	12.5	True	3462977	0	50	50	113909	113909	69259	69259	403751	403751	45.5	1.34	89.4	2995	No	No	No	53	21
STP51B.12603_R.bin.2	98.57	0.59	0.0	True	2137394	0	20	20	122578	122578	106869	106869	270312	270312	45.4	0.98	91.75	1958	Yes	No	No	38	20
STP51B.12603_R.bin.23	57.3	0.64	50.0	True	1150261	0	364	364	3330	3330	3160	3160	11263	11263	49.3	2.11	90.54	1232	No	No	No	8	6
STP51B.12603_R.bin.25	95.35	0.0	0.0	True	1586109	0	10	10	261092	261092	158610	158610	409638	409638	37.4	0.99	91.9	1445	Yes	No	No	39	21
STP51B.12603_R.bin.3	84.97	2.1	0.0	True	3154652	0	350	350	13845	13845	9013	9013	33736	33736	44.2	2.12	92.67	3014	No	No	No	32	15
STP51B.12603_R.bin.30	65.0	0.54	0.0	True	1334401	0	24	24	75919	75919	55600	55600	160947	160947	41.6	0.81	90.83	1333	No	No	No	44	21
STP51B.12603_R.bin.34	89.25	1.4	0.0	True	2110720	0	378	378	6947	6947	5583	5583	24314	24314	56.5	2.64	89.16	2088	Yes	No	No	18	11
STP51B.12603_R.bin.4	95.66	1.69	22.22	True	4236440	0	216	216	29131	29131	19613	19613	99841	99841	44.4	2.43	90.67	3521	Yes	No	No	59	21
STP51B.12603_R.bin.40	96.51	0.0	0.0	True	1793421	0	67	67	37400	37400	26767	26767	89982	89982	51.3	1.76	93.26	1596	No	No	Yes	31	18
STP51B.12603_R.bin.41	54.68	0.67	0.0	True	1745163	0	609	609	3044	3044	2865	2865	13143	13143	57.4	2.32	89.36	1855	No	No	No	13	9
STP51B.12603_R.bin.42	96.24	1.61	0.0	True	1941928	0	32	32	122781	122781	60685	60685	234372	234372	37.4	1.4	95.12	1606	Yes	Yes	No	42	21
STP51B.12603_R.bin.43	55.52	5.17	66.67	True	3467882	0	299	299	17651	17651	11598	11598	77761	77761	47.9	2.59	91.11	3012	Yes	No	No	39	19
STP51B.12603_R.bin.44	91.35	0.28	14.29	True	2454983	0	71	71	46822	46822	34577	34577	123908	123908	49.1	1.61	92.21	2151	Yes	No	Yes	50	21
STP51B.12603_R.bin.47	92.84	0.56	0.0	True	1746378	0	34	34	88268	88268	51364	51364	182270	182270	35.2	2.41	84.0	1386	Yes	No	No	38	22
STP51B.12603_R.bin.48	98.26	2.2	28.57	True	2544104	0	98	98	37272	37272	25960	25960	118631	118631	40.3	1.78	90.19	2130	No	No	No	40	20
STP51B.12603_R.bin.56	89.26	3.16	0.0	True	4001489	0	421	421	14446	14446	9504	9504	74599	74599	45.5	1.69	91.73	3823	Yes	No	No	59	21
STP51B.12603_R.bin.57	55.26	0.17	0.0	True	1139639	0	392	392	2922	2922	2907	2907	13141	13141	50.8	2.31	90.82	1198	No	No	No	6	6
STP51B.12603_R.bin.59	87.95	0.21	25.0	True	2249517	0	372	372	7747	7747	6047	6047	27474	27474	49.5	2.17	86.64	1919	Yes	No	No	27	15
STP51B.12603_R.bin.60	98.56	1.36	8.33	True	2727810	0	202	202	19481	19481	13504	13504	64840	64840	48.0	2.01	86.77	2238	Yes	No	No	35	18
STP51B.12603_R.bin.63	92.78	3.28	30.0	True	6607083	0	1287	1287	6650	6650	5133	5133	29562	29562	71.3	2.36	89.04	7065	Yes	No	No	40	20
STP51B.12603_R.bin.65	95.57	1.22	53.33	True	3004506	0	57	57	109661	109661	52710	52710	256831	256831	38.5	1.49	90.92	2803	No	No	Yes	48	20
STP51B.12603_R.bin.66	69.83	0.0	0.0	True	2092471	0	211	211	14953	14953	9916	9916	47677	47677	55.5	1.38	84.92	1712	No	No	No	23	17
STP51B.12603_R.bin.68	71.44	0.89	50.0	True	2586958	0	622	622	4847	4847	4159	4159	29173	29173	45.9	2.25	92.44	2650	No	No	No	14	12
STP51B.12603_R.bin.70	59.66	5.17	66.67	True	4553487	0	165	165	47114	47114	27596	27596	191565	191565	43.4	1.44	90.14	3476	Yes	No	No	51	19
STP51B.12603_R.bin.71	89.13	4.92	38.1	True	1812898	0	86	86	30923	30923	21080	21080	104167	104167	55.0	2.37	91.16	1672	Yes	No	No	31	17
STP51B.12603_R.bin.72	72.41	6.9	0.0	True	2241624	0	365	365	8618	8618	6141	6141	44315	44315	51.7	3.08	84.22	2024	Yes	No	No	35	16
STP51B.12603_R.bin.74	94.53	2.24	60.0	True	3160653	0	153	153	32754	32754	20657	20657	107111	107111	58.8	2.48	88.96	2965	Yes	No	Yes	42	18
STP51B.12603_R.bin.80	97.96	0.68	0.0	True	2535312	0	73	73	53324	53324	34730	34730	210750	210750	50.1	1.92	91.0	2220	Yes	Yes	Yes	49	22
STP51B.12603_R.bin.81	90.3	1.51	75.0	True	2428231	0	382	382	8373	8373	6356	6356	34040	34040	37.1	1.74	90.92	2257	No	No	No	31	17
STP51B.12603_R.bin.82	85.13	9.65	64.71	True	2192322	0	402	402	6491	6491	5453	5453	29606	29606	40.8	2.23	85.03	2401	Yes	No	No	26	17
STP51B.12603_R.bin.83	94.93	1.14	18.18	True	2050075	0	215	215	14101	14101	9535	9535	49433	49433	53.7	1.92	88.3	1737	Yes	No	Yes	28	15
STP51B.12603_R.bin.89	96.02	4.49	6.67	True	5056635	0	203	203	37405	37405	24909	24909	125106	125106	45.4	2.51	90.4	4161	No	No	No	70	21
STP51B.12603_R.bin.9	95.46	0.0	0.0	True	3022459	0	106	106	55101	55101	28513	28513	139590	139590	48.2	1.65	90.68	2448	Yes	No	Yes	41	20
STP51B.12603_R.bin.91	92.53	1.44	0.0	True	5742192	0	102	102	102200	102200	56296	56296	268909	268909	48.4	1.83	89.24	4841	No	No	No	54	21
STP51B.12603_R.bin.92	82.24	1.0	0.0	True	1489381	0	45	45	53537	53537	33097	33097	175446	175446	31.5	1.06	87.66	1523	Yes	No	No	35	19
STP51B.12603_R.bin.97	94.98	0.48	0.0	True	2169515	0	127	127	26928	26928	17082	17082	73928	73928	47.5	2.45	88.87	1996	No	No	No	32	21
STP51B.12603_R.bin.99	73.02	6.36	32.35	True	1587135	0	357	357	5186	5186	4445	4445	19672	19672	54.8	2.17	90.4	1485	No	No	No	12	7
