Genome	Completeness	Contamination	Strain heterogeneity	GUNC pass	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	# predicted genes	5S rRNA	23S rRNA	16S rRNA	# tRNA	# tRNA types
STP51B.12603_R.bin.130	0.46	0.46	0.0	True	241358	0	36	36	9574	9574	6704	6704	18779	18779	37.0	1.74	93.52	262	No	No	No	0	0
STP51B.12603_R.bin.131	64.83	12.07	22.22	True	3403762	0	199	199	25897	25897	17104	17104	115959	115959	47.2	1.87	90.54	2862	Yes	No	No	47	19
STP51B.12603_R.bin.132	74.64	10.34	82.35	True	1999249	0	376	376	6484	6484	5317	5317	27387	27387	58.9	1.75	84.09	1747	No	No	No	26	12
STP51B.12603_R.bin.133	0.0	0.0	0.0	True	268050	0	4	4	138746	138746	67012	67012	138746	138746	51.2	0.28	89.79	261	No	No	No	12	10
STP51B.12603_R.bin.134	88.85	2.4	14.29	True	2366252	0	294	294	10525	10525	8048	8048	30458	30458	58.2	1.82	89.73	1990	Yes	No	No	15	15
STP51B.12603_R.bin.135	36.13	4.08	0.0	False	1088387	0	356	356	3215	3215	3057	3057	18891	18891	59.4	1.8	94.42	1108	No	No	No	6	5
STP51B.12603_R.bin.136	23.28	0.0	0.0	True	1011955	0	314	314	3498	3498	3222	3222	10382	10382	42.2	1.47	93.05	993	No	No	No	6	5
STP51B.12603_R.bin.137	18.1	1.72	0.0	False	862497	0	288	288	3110	3110	2994	2994	10079	10079	43.5	1.46	92.6	837	Yes	No	No	3	3
STP51B.12603_R.bin.138	84.73	135.86	11.0	True	7208660	0	2900	2900	2457	2457	2485	2485	19744	19744	63.0	2.57	92.02	8121	No	No	No	19	11
STP51B.12603_R.bin.139	92.73	0.67	0.0	True	2465235	0	117	117	30686	30686	21070	21070	103984	103984	58.0	1.83	90.57	2407	Yes	No	No	38	17
STP51B.12603_R.bin.14	3.45	0.0	0.0	True	684324	0	27	27	39212	39212	25345	25345	63759	63759	48.7	1.13	92.25	440	No	No	No	4	3
STP51B.12603_R.bin.140	63.64	1.49	0.0	True	2539599	0	255	255	17930	17930	9959	9959	77748	77748	44.4	1.67	90.9	2421	No	No	No	17	11
STP51B.12603_R.bin.141	97.21	0.69	20.0	True	3758817	0	255	255	23946	23946	14740	14740	103774	103774	66.5	1.96	88.81	3214	No	No	No	42	22
STP51B.12603_R.bin.142	42.16	0.0	0.0	True	1783047	0	9	9	299078	299078	198116	198116	873626	873626	52.4	1.66	89.87	1611	Yes	No	No	34	13
STP51B.12603_R.bin.143	0.0	0.0	0.0	True	382359	0	41	41	10944	10944	9325	9325	51322	51322	34.7	1.17	91.7	482	No	No	No	62	23
STP51B.12603_R.bin.144	82.38	0.67	100.0	True	2080754	0	355	355	7194	7194	5861	5861	32006	32006	60.1	2.37	89.82	2083	No	No	No	18	11
STP51B.12603_R.bin.145	55.48	15.99	48.15	True	1034732	0	366	366	2922	2922	2827	2827	19032	19032	35.2	1.53	91.02	1193	No	No	No	12	8
STP51B.12603_R.bin.146	62.73	0.0	0.0	True	1216722	0	333	333	4098	4098	3653	3653	11861	11861	49.2	2.39	91.79	1193	No	No	Yes	7	4
STP51B.12603_R.bin.147	36.12	5.26	0.0	True	1819583	0	658	658	2821	2821	2765	2765	12961	12961	45.2	1.95	92.57	2121	Yes	No	No	5	4
STP51B.12603_R.bin.148	43.1	13.79	44.44	True	1549212	0	37	37	68822	68822	41870	41870	133862	133862	59.3	0.94	92.7	1277	No	No	No	19	10
STP51B.12603_R.bin.149	28.92	0.0	0.0	True	491213	0	186	186	2701	2701	2640	2640	8611	8611	58.3	2.12	93.89	560	No	No	No	4	4
STP51B.12603_R.bin.15	0.0	0.0	0.0	False	273347	0	9	9	46547	46547	30371	30371	107584	107584	42.8	0.7	90.45	206	No	No	No	1	1
STP51B.12603_R.bin.150	87.09	1.08	33.33	True	1949950	0	138	138	20149	20149	14130	14130	60706	60706	43.5	1.64	93.75	1633	No	No	Yes	25	16
STP51B.12603_R.bin.151	92.07	7.61	38.46	True	2539858	0	42	42	94872	94872	60472	60472	298126	298126	57.7	1.87	91.35	2102	No	No	No	49	20
STP51B.12603_R.bin.152	93.64	0.6	33.33	True	4536076	0	72	72	84396	84396	63001	63001	238517	238517	48.2	1.39	85.97	4086	Yes	No	Yes	62	20
STP51B.12603_R.bin.153	93.17	0.0	0.0	True	2097628	0	218	218	11967	11967	9622	9622	51670	51670	46.0	2.05	89.34	1805	No	No	No	34	19
STP51B.12603_R.bin.154	96.31	1.34	50.0	True	3000004	0	310	310	14125	14125	9677	9677	65197	65197	58.3	2.0	83.14	2795	Yes	No	No	36	19
STP51B.12603_R.bin.155	100.0	306.92	1.79	False	11380383	0	4032	4032	2804	2804	2822	2822	166720	166720	29.9	3.28	86.19	14520	Yes	No	Yes	221	22
STP51B.12603_R.bin.156	29.6	2.27	14.29	False	1523724	0	808	808	1823	1823	1885	1885	4699	4699	71.3	2.59	92.55	2123	No	No	No	7	6
STP51B.12603_R.bin.157	88.06	4.3	40.0	True	2966980	0	117	117	41755	41755	25358	25358	142716	142716	44.0	1.76	88.14	2518	Yes	No	Yes	41	18
STP51B.12603_R.bin.158	95.67	7.94	54.76	True	2885171	0	233	233	20215	20215	12382	12382	81188	81188	52.3	2.14	88.47	2693	Yes	No	No	65	21
STP51B.12603_R.bin.159	57.67	0.17	0.0	True	1332213	0	263	263	6483	6483	5065	5065	18261	18261	34.2	1.53	92.51	1313	No	No	No	15	10
STP51B.12603_R.bin.16	73.72	3.02	0.0	True	2315096	0	93	93	38844	38844	24893	24893	153006	153006	38.1	1.41	89.51	2227	No	No	No	17	12
STP51B.12603_R.bin.160	4.17	0.0	0.0	True	1055103	0	21	21	74716	74716	50243	50243	215043	215043	50.4	1.38	87.88	897	No	No	No	8	7
STP51B.12603_R.bin.161	76.72	15.52	27.27	True	2577178	0	163	163	23822	23822	15810	15810	107055	107055	56.3	1.6	89.76	2189	Yes	No	No	29	14
STP51B.12603_R.bin.162	93.61	8.6	28.0	True	2508406	0	47	47	94458	94458	53370	53370	188739	188739	57.8	1.7	91.98	2121	No	No	No	32	20
STP51B.12603_R.bin.163	1.72	0.0	0.0	True	395978	0	6	6	121748	121748	65996	65996	124374	124374	48.6	0.6	92.73	222	No	No	No	3	2
STP51B.12603_R.bin.164	100.0	309.31	8.74	False	32135235	0	9970	9970	3377	3377	3223	3223	65497	65497	36.8	2.36	87.01	37809	Yes	No	Yes	331	24
STP51B.12603_R.bin.165	0.31	0.0	0.0	True	206559	0	4	4	118933	118933	51639	51639	118933	118933	25.2	1.88	90.83	168	No	Yes	Yes	0	0
STP51B.12603_R.bin.166	96.42	5.38	45.45	True	3625345	0	75	75	85130	85130	48337	48337	274738	274738	42.8	1.81	89.0	2992	Yes	No	No	50	21
STP51B.12603_R.bin.167	44.06	4.32	52.63	True	2428403	0	112	112	48093	48093	21682	21682	150311	150311	45.2	1.15	91.52	2002	No	No	No	27	14
STP51B.12603_R.bin.168	87.5	3.33	30.77	True	3816444	0	75	75	68485	68485	50885	50885	164677	164677	47.5	1.56	91.47	3075	Yes	No	No	52	19
STP51B.12603_R.bin.169	57.58	1.45	50.0	False	1624115	0	435	435	4375	4375	3733	3733	17255	17255	60.2	2.38	87.23	1745	No	No	No	7	7
STP51B.12603_R.bin.17	98.28	202.27	54.75	True	7827362	0	519	519	23900	23900	15081	15081	174697	174697	55.3	2.57	90.63	6920	Yes	No	No	122	21
STP51B.12603_R.bin.18	7.76	0.0	0.0	False	385421	0	177	177	2177	2177	2177	2177	8236	8236	63.5	2.56	93.96	500	No	No	No	1	1
STP51B.12603_R.bin.19	93.68	2.87	12.5	True	3462977	0	50	50	113909	113909	69259	69259	403751	403751	45.5	1.34	89.4	2995	No	No	No	53	21
STP51B.12603_R.bin.2	98.57	0.59	0.0	True	2137394	0	20	20	122578	122578	106869	106869	270312	270312	45.4	0.98	91.75	1958	Yes	No	No	38	20
STP51B.12603_R.bin.20	0.0	0.0	0.0	False	242958	0	43	43	9479	9479	5650	5650	34216	34216	62.8	1.96	99.45	48	No	No	No	0	0
STP51B.12603_R.bin.21	46.87	7.95	73.53	True	2490704	0	342	342	9608	9608	7282	7282	69029	69029	48.4	2.47	91.04	2276	No	No	No	28	13
STP51B.12603_R.bin.22	16.3	0.0	0.0	True	1611772	0	352	352	5357	5357	4578	4578	18763	18763	45.6	1.74	92.18	1331	No	No	No	1	1
STP51B.12603_R.bin.23	57.3	0.64	50.0	True	1150261	0	364	364	3330	3330	3160	3160	11263	11263	49.3	2.11	90.54	1232	No	No	No	8	6
STP51B.12603_R.bin.24	73.97	5.44	9.52	False	2090607	0	591	591	3899	3899	3537	3537	16125	16125	57.6	2.3	90.49	2238	No	No	No	10	8
STP51B.12603_R.bin.25	95.35	0.0	0.0	True	1586109	0	10	10	261092	261092	158610	158610	409638	409638	37.4	0.99	91.9	1445	Yes	No	No	39	21
STP51B.12603_R.bin.26	92.95	46.03	59.26	True	4075515	0	152	152	51385	51385	26812	26812	196871	196871	53.6	2.67	90.79	3364	Yes	No	Yes	79	22
STP51B.12603_R.bin.27	40.52	0.0	0.0	True	1742764	0	445	445	4477	4477	3916	3916	16253	16253	46.5	2.57	92.69	1583	No	No	No	8	3
STP51B.12603_R.bin.28	17.24	0.0	0.0	False	343818	0	131	131	2673	2673	2624	2624	6481	6481	56.7	2.0	94.55	384	No	No	No	0	0
STP51B.12603_R.bin.29	47.41	0.0	0.0	True	2190678	0	229	229	15196	15196	9566	9566	37223	37223	45.7	1.72	92.14	1887	Yes	No	No	24	14
STP51B.12603_R.bin.3	84.97	2.1	0.0	True	3154652	0	350	350	13845	13845	9013	9013	33736	33736	44.2	2.12	92.67	3014	No	No	No	32	15
STP51B.12603_R.bin.30	65.0	0.54	0.0	True	1334401	0	24	24	75919	75919	55600	55600	160947	160947	41.6	0.81	90.83	1333	No	No	No	44	21
STP51B.12603_R.bin.31	4.17	0.0	0.0	True	235637	0	89	89	2752	2752	2647	2647	6655	6655	44.8	1.51	91.43	259	No	No	No	0	0
STP51B.12603_R.bin.32	0.0	0.0	0.0	True	432389	0	71	71	7756	7756	6089	6089	30821	30821	53.1	1.29	91.88	379	No	No	No	1	1
STP51B.12603_R.bin.33	31.9	0.0	0.0	True	1277167	0	303	303	4739	4739	4215	4215	31883	31883	57.6	2.31	86.4	1271	No	No	No	11	9
STP51B.12603_R.bin.34	89.25	1.4	0.0	True	2110720	0	378	378	6947	6947	5583	5583	24314	24314	56.5	2.64	89.16	2088	Yes	No	No	18	11
STP51B.12603_R.bin.35	92.31	29.88	35.38	True	6844856	0	332	332	35215	35215	20617	20617	123718	123718	42.9	1.72	90.53	5551	Yes	No	No	70	21
STP51B.12603_R.bin.36	22.41	1.72	100.0	True	1908455	0	47	47	83474	83474	40605	40605	188872	188872	47.8	1.46	92.12	1403	No	No	No	23	12
STP51B.12603_R.bin.37	10.19	0.0	0.0	False	243315	0	94	94	2600	2600	2588	2588	6643	6643	52.4	1.67	91.95	298	No	No	No	0	0
STP51B.12603_R.bin.38	4.17	4.17	0.0	False	662849	0	177	177	4274	4274	3744	3744	15046	15046	46.5	1.33	93.07	621	No	No	No	2	2
STP51B.12603_R.bin.39	20.69	0.0	0.0	True	850143	0	332	332	2678	2678	2560	2560	7499	7499	43.7	1.87	91.3	875	No	No	No	2	1
STP51B.12603_R.bin.4	95.66	1.69	22.22	True	4236440	0	216	216	29131	29131	19613	19613	99841	99841	44.4	2.43	90.67	3521	Yes	No	No	59	21
STP51B.12603_R.bin.40	96.51	0.0	0.0	True	1793421	0	67	67	37400	37400	26767	26767	89982	89982	51.3	1.76	93.26	1596	No	No	Yes	31	18
STP51B.12603_R.bin.41	54.68	0.67	0.0	True	1745163	0	609	609	3044	3044	2865	2865	13143	13143	57.4	2.32	89.36	1855	No	No	No	13	9
STP51B.12603_R.bin.42	96.24	1.61	0.0	True	1941928	0	32	32	122781	122781	60685	60685	234372	234372	37.4	1.4	95.12	1606	Yes	Yes	No	42	21
STP51B.12603_R.bin.43	55.52	5.17	66.67	True	3467882	0	299	299	17651	17651	11598	11598	77761	77761	47.9	2.59	91.11	3012	Yes	No	No	39	19
STP51B.12603_R.bin.44	91.35	0.28	14.29	True	2454983	0	71	71	46822	46822	34577	34577	123908	123908	49.1	1.61	92.21	2151	Yes	No	Yes	50	21
STP51B.12603_R.bin.45	31.85	0.86	0.0	True	733702	0	350	350	2050	2050	2096	2096	4658	4658	40.6	2.67	91.22	977	No	No	No	10	8
STP51B.12603_R.bin.46	18.97	1.72	0.0	True	430175	0	150	150	3085	3085	2867	2867	8878	8878	55.6	2.13	93.54	459	No	No	No	0	0
STP51B.12603_R.bin.47	92.84	0.56	0.0	True	1746378	0	34	34	88268	88268	51364	51364	182270	182270	35.2	2.41	84.0	1386	Yes	No	No	38	22
STP51B.12603_R.bin.48	98.26	2.2	28.57	True	2544104	0	98	98	37272	37272	25960	25960	118631	118631	40.3	1.78	90.19	2130	No	No	No	40	20
STP51B.12603_R.bin.49	72.57	24.75	10.14	True	1942331	0	421	421	5455	5455	4613	4613	16628	16628	51.7	1.76	87.2	1834	No	No	No	37	14
STP51B.12603_R.bin.5	83.65	11.0	20.37	True	4598618	0	477	477	13081	13081	9640	9640	82714	82714	46.0	2.81	90.27	3797	Yes	No	No	43	20
STP51B.12603_R.bin.50	84.48	21.55	26.32	True	5709809	0	218	218	58106	58106	26191	26191	180803	180803	42.1	2.1	90.02	4839	Yes	No	No	72	21
STP51B.12603_R.bin.51	25.86	0.0	0.0	True	1452293	0	328	328	4924	4924	4427	4427	26440	26440	50.2	1.85	93.14	1288	No	No	No	4	4
STP51B.12603_R.bin.52	100.0	100.0	42.86	True	3911721	0	202	202	28436	28436	19364	19364	171039	171039	38.5	1.67	86.62	3876	No	No	Yes	80	21
STP51B.12603_R.bin.53	63.88	0.0	0.0	False	1804163	0	478	478	4193	4193	3774	3774	13789	13789	53.3	2.28	90.99	1704	No	No	No	14	7
STP51B.12603_R.bin.54	0.0	0.0	0.0	True	226652	0	5	5	160601	160601	45330	45330	160601	160601	27.1	0.97	81.53	216	No	No	No	4	4
STP51B.12603_R.bin.55	4.17	0.0	0.0	False	544432	0	233	233	2336	2336	2336	2336	6787	6787	47.6	1.94	92.99	684	No	No	No	0	0
STP51B.12603_R.bin.56	89.26	3.16	0.0	True	4001489	0	421	421	14446	14446	9504	9504	74599	74599	45.5	1.69	91.73	3823	Yes	No	No	59	21
STP51B.12603_R.bin.57	55.26	0.17	0.0	True	1139639	0	392	392	2922	2922	2907	2907	13141	13141	50.8	2.31	90.82	1198	No	No	No	6	6
STP51B.12603_R.bin.58	0.0	0.0	0.0	True	751873	0	129	129	7752	7752	5828	5828	23195	23195	35.4	1.86	88.54	836	Yes	No	No	0	0
STP51B.12603_R.bin.59	87.95	0.21	25.0	True	2249517	0	372	372	7747	7747	6047	6047	27474	27474	49.5	2.17	86.64	1919	Yes	No	No	27	15
STP51B.12603_R.bin.6	94.2	89.59	21.43	True	5300675	0	836	836	8208	8208	6340	6340	49768	49768	61.2	2.44	85.7	5029	No	No	No	69	19
STP51B.12603_R.bin.60	98.56	1.36	8.33	True	2727810	0	202	202	19481	19481	13504	13504	64840	64840	48.0	2.01	86.77	2238	Yes	No	No	35	18
STP51B.12603_R.bin.61	100.0	113.57	48.53	True	5109538	0	669	669	15656	15656	7637	7637	88388	88388	39.4	2.75	89.12	5533	Yes	No	No	91	22
STP51B.12603_R.bin.62	83.1	34.17	58.33	False	2839800	0	530	530	6376	6376	5358	5358	37779	37779	58.3	2.35	88.02	2946	No	No	No	43	18
STP51B.12603_R.bin.63	92.78	3.28	30.0	True	6607083	0	1287	1287	6650	6650	5133	5133	29562	29562	71.3	2.36	89.04	7065	Yes	No	No	40	20
STP51B.12603_R.bin.64	10.34	0.0	0.0	True	980304	0	191	191	6416	6416	5132	5132	23801	23801	50.1	1.86	91.57	860	No	No	No	7	5
STP51B.12603_R.bin.65	95.57	1.22	53.33	True	3004506	0	57	57	109661	109661	52710	52710	256831	256831	38.5	1.49	90.92	2803	No	No	Yes	48	20
STP51B.12603_R.bin.66	69.83	0.0	0.0	True	2092471	0	211	211	14953	14953	9916	9916	47677	47677	55.5	1.38	84.92	1712	No	No	No	23	17
STP51B.12603_R.bin.67	39.25	1.72	0.0	False	1780309	0	589	589	3181	3181	3022	3022	13694	13694	54.0	2.69	90.75	1964	Yes	No	No	9	6
STP51B.12603_R.bin.68	71.44	0.89	50.0	True	2586958	0	622	622	4847	4847	4159	4159	29173	29173	45.9	2.25	92.44	2650	No	No	No	14	12
STP51B.12603_R.bin.69	79.47	158.39	42.47	True	9946074	0	2672	2672	4133	4133	3722	3722	20946	20946	55.2	2.47	90.72	9454	No	No	No	47	17
STP51B.12603_R.bin.7	82.41	61.21	68.92	True	9038476	0	614	614	31730	31730	14720	14720	173929	173929	41.5	2.54	89.67	8040	Yes	No	No	112	21
STP51B.12603_R.bin.70	59.66	5.17	66.67	True	4553487	0	165	165	47114	47114	27596	27596	191565	191565	43.4	1.44	90.14	3476	Yes	No	No	51	19
STP51B.12603_R.bin.71	89.13	4.92	38.1	True	1812898	0	86	86	30923	30923	21080	21080	104167	104167	55.0	2.37	91.16	1672	Yes	No	No	31	17
STP51B.12603_R.bin.72	72.41	6.9	0.0	True	2241624	0	365	365	8618	8618	6141	6141	44315	44315	51.7	3.08	84.22	2024	Yes	No	No	35	16
STP51B.12603_R.bin.73	0.0	0.0	0.0	False	420194	0	115	115	4279	4279	3653	3653	19252	19252	45.4	1.68	85.84	546	Yes	No	No	9	7
STP51B.12603_R.bin.74	94.53	2.24	60.0	True	3160653	0	153	153	32754	32754	20657	20657	107111	107111	58.8	2.48	88.96	2965	Yes	No	Yes	42	18
STP51B.12603_R.bin.75	48.07	0.0	0.0	True	3436058	0	1072	1072	3396	3396	3205	3205	19684	19684	51.6	2.6	90.23	4010	Yes	No	No	24	13
STP51B.12603_R.bin.76	66.38	38.87	48.39	False	3102941	0	823	823	4205	4205	3770	3770	13847	13847	40.2	1.71	92.2	3090	No	No	No	20	12
STP51B.12603_R.bin.77	4.17	0.0	0.0	True	245218	0	12	12	25668	25668	20434	20434	74882	74882	40.8	1.0	89.46	208	Yes	No	No	3	3
STP51B.12603_R.bin.78	50.1	15.83	15.38	True	1993568	0	835	835	2358	2358	2387	2387	8294	8294	59.2	2.42	92.06	2272	No	No	No	2	2
STP51B.12603_R.bin.79	97.37	50.43	13.16	True	5802384	0	720	720	13356	13356	8058	8058	107740	107740	40.2	1.77	88.47	5792	No	No	No	43	18
STP51B.12603_R.bin.8	99.98	11.29	42.86	True	3706266	0	46	46	164046	164046	80571	80571	520186	520186	40.8	1.65	90.64	2975	Yes	No	No	58	21
STP51B.12603_R.bin.80	97.96	0.68	0.0	True	2535312	0	73	73	53324	53324	34730	34730	210750	210750	50.1	1.92	91.0	2220	Yes	Yes	Yes	49	22
STP51B.12603_R.bin.81	90.3	1.51	75.0	True	2428231	0	382	382	8373	8373	6356	6356	34040	34040	37.1	1.74	90.92	2257	No	No	No	31	17
STP51B.12603_R.bin.82	85.13	9.65	64.71	True	2192322	0	402	402	6491	6491	5453	5453	29606	29606	40.8	2.23	85.03	2401	Yes	No	No	26	17
STP51B.12603_R.bin.83	94.93	1.14	18.18	True	2050075	0	215	215	14101	14101	9535	9535	49433	49433	53.7	1.92	88.3	1737	Yes	No	Yes	28	15
STP51B.12603_R.bin.84	100.0	668.69	22.87	False	31831403	0	4559	4559	13378	13378	6982	6982	167633	167633	42.3	2.3	89.78	28501	Yes	No	Yes	352	21
STP51B.12603_R.bin.85	60.85	14.66	90.0	True	4809491	0	215	215	43493	43493	22369	22369	117464	117464	41.2	1.87	90.9	3689	Yes	No	No	62	20
STP51B.12603_R.bin.86	55.84	9.62	5.26	False	2199926	0	744	744	3065	3065	2956	2956	12624	12624	44.5	1.66	91.31	2544	No	No	No	13	10
STP51B.12603_R.bin.87	98.64	303.11	39.49	True	23156156	0	1923	1923	21807	21807	12041	12041	162429	162429	42.0	2.15	90.45	19611	Yes	No	No	254	21
STP51B.12603_R.bin.88	20.0	0.0	0.0	True	1498184	0	82	82	37362	37362	18270	18270	91185	91185	46.6	1.48	91.52	1214	No	No	No	17	12
STP51B.12603_R.bin.89	96.02	4.49	6.67	True	5056635	0	203	203	37405	37405	24909	24909	125106	125106	45.4	2.51	90.4	4161	No	No	No	70	21
STP51B.12603_R.bin.9	95.46	0.0	0.0	True	3022459	0	106	106	55101	55101	28513	28513	139590	139590	48.2	1.65	90.68	2448	Yes	No	Yes	41	20
STP51B.12603_R.bin.90	65.26	27.19	61.11	True	3727681	0	1053	1053	3796	3796	3540	3540	17102	17102	49.6	2.03	91.32	3877	No	No	No	22	12
STP51B.12603_R.bin.91	92.53	1.44	0.0	True	5742192	0	102	102	102200	102200	56296	56296	268909	268909	48.4	1.83	89.24	4841	No	No	No	54	21
STP51B.12603_R.bin.92	82.24	1.0	0.0	True	1489381	0	45	45	53537	53537	33097	33097	175446	175446	31.5	1.06	87.66	1523	Yes	No	No	35	19
STP51B.12603_R.bin.93	96.77	0.63	0.0	False	2393330	0	158	158	33059	33059	15147	15147	86058	86058	38.8	1.52	91.11	2012	Yes	No	No	45	21
STP51B.12603_R.bin.94	69.98	33.79	59.52	True	6278179	0	450	450	24340	24340	13951	13951	152165	152165	44.6	2.13	91.02	5029	Yes	No	No	60	18
