user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
STP672.12605_R.bin.13.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1251;s__	N/A	N/A	N/A	N/A	N/A	GCA_900549995.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1251;s__UMGS1251 sp900549995	77.46	0.19	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1251;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	72.64	11	0.9225135789011792	Genome has more than 24.2% of markers with multiple hits
STP672.12605_R.bin.14.fa	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.3%)
STP672.12605_R.bin.15.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	65.03	11	0.8905296075770508	N/A
STP672.12605_R.bin.16.fa	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.9%)
STP672.12605_R.bin.17.fa	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B hirae	GCA_000271405.2	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B hirae	95.66	0.88	GCA_000271405.2	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B hirae	95.66	0.88	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015680865.1, s__Enterococcus_B lacertideformus, 95.0, 81.98, 0.61; GCF_007990225.1, s__Enterococcus_B villorum, 95.0, 81.98, 0.63; GCF_001544215.1, s__Enterococcus_B durans, 95.0, 81.17, 0.54; GCF_001886195.1, s__Enterococcus_B ratti, 95.0, 80.7, 0.55; GCF_001544255.1, s__Enterococcus_B faecium, 95.0, 80.3, 0.42; GCF_015751045.1, s__Enterococcus_B lactis, 95.0, 80.23, 0.44; GCF_011038845.1, s__Enterococcus_B sp011038845, 95.0, 80.18, 0.43; GCF_002813755.1, s__Enterococcus_B mundtii, 96.3614, 79.81, 0.43; GCF_002140175.1, s__Enterococcus_B sp002140175, 95.0, 79.79, 0.41; GCF_017316305.1, s__Enterococcus_B sp017316305, 95.0, 79.63, 0.4; GCF_017315945.1, s__Enterococcus_B sp017315945, 95.0, 79.57, 0.36; GCF_013394305.1, s__Enterococcus_B pernyi, 96.3614, 79.5, 0.43; GCF_003957375.1, s__Enterococcus_B mundtii_C, 96.247, 79.5, 0.41; GCF_002947535.1, s__Enterococcus_B mundtii_B, 95.0, 79.49, 0.4; GCF_001886265.1, s__Enterococcus_B thailandicus, 95.0, 79.48, 0.36; GCF_017316125.1, s__Enterococcus_B sp017316125, 95.0, 79.33, 0.38; GCF_000415185.1, s__Enterococcus_B faecalis_A, 95.0, 78.85, 0.28; GCF_000407505.1, s__Enterococcus_B phoeniculicola, 95.0, 78.31, 0.16; GCF_009933175.1, s__Enterococcus_B sp009933175, 95.0, 78.13, 0.15	95.91	11	N/A	N/A
STP672.12605_R.bin.18.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__OM05-12;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__OM05-12;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	54.98	11	0.9147293382319546	N/A
STP672.12605_R.bin.19.fa	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
STP672.12605_R.bin.2.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides_B;s__	N/A	N/A	N/A	N/A	N/A	GCF_900292045.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides_B;s__Parabacteroides_B pacaensis	77.67	0.21	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides_B;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	30.6	11	0.9339560334119704	N/A
STP672.12605_R.bin.20.fa	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Erysipelatoclostridium;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Erysipelatoclostridium;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	90.21	11	0.9456769491932457	N/A
STP672.12605_R.bin.21.fa	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.5%)
STP672.12605_R.bin.22.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	N/A	N/A	N/A	N/A	N/A	GCA_900542045.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A gallistercoris	77.87	0.25	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_018064695.1, s__Blautia_A sp018064695, 95.0, 77.27, 0.03; GCA_019118425.1, s__Blautia_A faecavium, 95.0, 76.94, 0.07; GCA_905206915.1, s__Blautia_A sp905206915, 95.0, 76.92, 0.05; GCA_019112635.1, s__Blautia_A intestinigallinarum, 95.0, 76.89, 0.06; GCA_900764225.1, s__Blautia_A sp900764225, 95.0, 76.87, 0.04; GCF_013304735.1, s__Blautia_A sp900066205, 95.0, 76.84, 0.06; GCF_000153905.1, s__Blautia_A obeum, 95.0, 76.82, 0.04; GCF_003461955.1, s__Blautia_A sp900066335, 95.0, 76.79, 0.05; GCA_019116385.1, s__Blautia_A faecigallinarum, 95.0, 76.74, 0.12; GCA_017515945.1, s__Blautia_A sp017515945, 95.0, 76.74, 0.03; GCA_900763175.1, s__Blautia_A sp900763175, 95.0, 76.74, 0.04; GCF_013304825.1, s__Blautia_A schinkii, 95.0, 76.71, 0.05; GCA_019115125.1, s__Blautia_A faecipullorum, 95.0, 76.69, 0.1; GCF_003460605.1, s__Blautia_A sp900066145, 95.0, 76.63, 0.07; GCF_018919065.1, s__Blautia_A sp018919065, 95.0, 76.62, 0.03; GCA_000702025.1, s__Blautia_A schinkii_A, 95.0, 76.55, 0.11; GCF_003474435.1, s__Blautia_A sp003474435, 95.0, 76.53, 0.06; GCA_900551465.1, s__Blautia_A sp900551465, 95.0, 76.45, 0.04; GCA_017463155.1, s__Blautia_A sp017463155, 95.0, 76.44, 0.06; GCF_002159835.1, s__Blautia_A avistercoris, 95.0, 76.35, 0.07; GCA_900316115.1, s__Blautia_A sp900316115, 95.0, 76.34, 0.05; GCA_019118645.1, s__Blautia_A excrementipullorum, 95.0, 76.32, 0.05; GCA_017420455.1, s__Blautia_A sp017420455, 95.0, 76.3, 0.04; GCA_900540785.1, s__Blautia_A sp900540785, 95.0, 76.29, 0.05; GCF_016908695.1, s__Blautia_A faecis, 95.0, 76.25, 0.05; GCF_000157975.1, s__Blautia_A hydrogenotrophica, 95.0, 76.25, 0.06; GCF_001487165.1, s__Blautia_A massiliensis, 95.0, 76.21, 0.06; GCA_900549015.1, s__Blautia_A sp900549015, 95.0, 76.19, 0.05; GCF_003461245.1, s__Blautia_A sp000436615, 95.0, 76.18, 0.07; GCA_019113745.1, s__Blautia_A intestinavium, 95.0, 76.18, 0.11; GCA_900551075.1, s__Blautia_A sp900551075, 95.0, 76.17, 0.1; GCA_900066355.1, s__Blautia_A sp900066355, 95.0, 76.14, 0.05; GCA_902803215.1, s__Blautia_A sp902803215, 95.0, 76.13, 0.04; GCF_000210015.1, s__Blautia_A obeum_B, 95.0, 76.11, 0.06; GCA_019119235.1, s__Blautia_A excrementigallinarum, 95.0, 76.09, 0.07; GCF_009883055.1, s__Blautia_A sp900548245, 95.0, 76.07, 0.05; GCF_013304385.1, s__Blautia_A sp900066505, 95.0, 76.04, 0.06; GCA_900541985.1, s__Blautia_A sp900541985, 95.0, 76.02, 0.07; GCF_018918125.1, s__Blautia_A sp018918125, 95.0, 76.0, 0.05; GCF_900120195.1, s__Blautia_A sp900120195, 95.0, 75.98, 0.05; GCA_900553515.1, s__Blautia_A sp900553515, 95.0, 75.96, 0.06; GCA_019120475.1, s__Blautia_A intestinipullorum, 95.0, 75.92, 0.06; GCA_905209435.1, s__Blautia_A sp905209435, 95.0, 75.91, 0.03; GCF_000484655.1, s__Blautia_A wexlerae, 95.0, 75.9, 0.05; GCA_017475035.1, s__Blautia_A sp017475035, 95.0, 75.88, 0.02; GCA_017515325.1, s__Blautia_A sp017515325, 95.0, 75.86, 0.02; GCF_013302405.1, s__Blautia_A caecimuris, 95.0, 75.85, 0.08; GCA_000285855.2, s__Blautia_A sp000285855, 95.0, 75.82, 0.05; GCF_009707925.1, s__Blautia_A luti, 95.0, 75.81, 0.06; GCA_902782975.1, s__Blautia_A sp902782975, 95.0, 75.73, 0.03; GCA_017459635.1, s__Blautia_A sp017459635, 95.0, 75.72, 0.02; GCF_003471165.1, s__Blautia_A sp003471165, 95.0, 75.71, 0.03; GCA_900547615.1, s__Blautia_A sp900547615, 95.0, 75.61, 0.06; GCA_900751995.1, s__Blautia_A sp900751995, 95.0, 75.51, 0.04; GCF_013300825.1, s__Blautia_A wexlerae_B, 95.0, 75.49, 0.04; GCA_900551715.1, s__Blautia_A sp900551715, 95.0, 75.43, 0.02; GCF_003477525.1, s__Blautia_A sp003477525, 95.0, 75.41, 0.05; GCA_902783305.1, s__Blautia_A sp902783305, 95.0, 75.37, 0.02; GCA_900541345.1, s__Blautia_A sp900541345, 95.0, 75.24, 0.05	32.17	11	0.9374095777276419	N/A
STP672.12605_R.bin.23.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__	ANI	classification based on placement in class-level tree	GCA_905215845.1, s__CAG-269 sp905215845, 95.0, 77.78, 0.28; GCA_900556695.1, s__CAG-269 sp900556695, 95.0, 77.73, 0.3; GCA_900553985.1, s__CAG-269 sp900553985, 95.0, 77.73, 0.32; GCA_904419495.1, s__CAG-269 sp904419495, 95.0, 77.65, 0.31; GCA_000431335.1, s__CAG-269 sp000431335, 95.0, 77.6, 0.37; GCA_900556945.1, s__CAG-269 sp900556945, 95.0, 77.58, 0.32; GCA_000437215.1, s__CAG-269 sp000437215, 95.0, 77.5, 0.27; GCA_904387305.1, s__CAG-269 sp904387305, 95.0, 77.46, 0.35; GCA_017404025.1, s__CAG-269 sp017404025, 95.0, 77.35, 0.25; GCA_017409455.1, s__CAG-269 sp017409455, 95.0, 77.33, 0.21; GCA_900762425.1, s__CAG-269 sp900762425, 95.0, 77.33, 0.31; GCA_014846485.1, s__CAG-269 sp014846485, 95.0, 77.27, 0.24; GCA_905213875.1, s__CAG-269 sp905213875, 95.0, 77.24, 0.29; GCA_017434295.1, s__CAG-269 sp017434295, 95.0, 77.18, 0.22; GCA_900554565.1, s__CAG-269 sp900554565, 95.0, 77.18, 0.25; GCA_900552555.1, s__CAG-269 sp900552555, 95.0, 77.18, 0.25; GCA_001916005.1, s__CAG-269 sp001916005, 95.0, 77.14, 0.3; GCA_904384205.1, s__CAG-269 sp904384205, 95.0, 77.08, 0.31; GCA_001916035.1, s__CAG-269 sp001916035, 95.0, 77.06, 0.24; GCA_017410505.1, s__CAG-269 sp017410505, 95.0, 77.06, 0.25; GCA_900753165.1, s__CAG-269 sp900753165, 95.0, 77.05, 0.27; GCA_900554175.1, s__CAG-269 sp900554175, 95.0, 77.05, 0.19; GCA_902760765.1, s__CAG-269 sp902760765, 95.0, 77.05, 0.29; GCA_017430135.1, s__CAG-269 sp017430135, 95.0, 76.99, 0.24; GCA_904384245.1, s__CAG-269 sp904384245, 95.0, 76.96, 0.27; GCA_017458285.1, s__CAG-269 sp017458285, 95.0, 76.94, 0.19; GCA_000435535.1, s__CAG-269 sp000435535, 95.0, 76.92, 0.26; GCA_000438255.1, s__CAG-269 sp000438255, 95.0, 76.92, 0.28; GCA_900551615.1, s__CAG-269 sp900551615, 95.0, 76.89, 0.28; GCA_001916065.1, s__CAG-269 sp001916065, 95.0, 76.85, 0.26; GCA_017533795.1, s__CAG-269 sp017533795, 95.0, 76.81, 0.17; GCA_001916055.1, s__CAG-269 sp001916055, 95.0, 76.8, 0.2; GCA_905203195.1, s__CAG-269 sp905203195, 95.0, 76.73, 0.3; GCA_017613275.1, s__CAG-269 sp017613275, 95.0, 76.73, 0.18; GCA_900554365.1, s__CAG-269 sp900554365, 95.0, 76.7, 0.27; GCA_003525075.1, s__CAG-269 sp003525075, 95.0, 76.68, 0.22; GCA_904419095.1, s__CAG-269 sp904419095, 95.0, 76.65, 0.22; GCA_001915995.1, s__CAG-269 sp001915995, 95.0, 76.62, 0.23; GCA_900754285.1, s__CAG-269 sp900754285, 95.0, 76.61, 0.25; GCA_900555615.1, s__CAG-269 sp900555615, 95.0, 76.61, 0.17; GCA_900556865.1, s__CAG-269 sp900556865, 95.0, 76.5, 0.2; GCA_002372935.1, s__CAG-269 sp002372935, 95.0, 76.36, 0.18; GCA_900553125.1, s__CAG-269 sp900553125, 95.0, 76.33, 0.2; GCA_017511265.1, s__CAG-269 sp017511265, 95.0, 76.26, 0.2; GCA_905203305.1, s__CAG-269 sp905203305, 95.0, 76.24, 0.17; GCA_902787685.1, s__CAG-269 sp902787685, 95.0, 76.17, 0.15; GCA_900556345.1, s__CAG-269 sp900556345, 95.0, 76.13, 0.12; GCA_017429505.1, s__CAG-269 sp017429505, 95.0, 76.06, 0.19; GCA_003518755.1, s__CAG-269 sp003518755, 95.0, 76.05, 0.14	87.09	11	0.9131079013025533	N/A
STP672.12605_R.bin.24.fa	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter;s__	N/A	N/A	N/A	N/A	N/A	GCA_019113915.1	95.0	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter;s__Gordonibacter avicola	91.88	0.79	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000210055.1, s__Gordonibacter pamelaeae, 95.0, 82.0, 0.52; GCF_900199375.1, s__Gordonibacter urolithinfaciens, 95.0, 81.93, 0.54; GCA_900170005.1, s__Gordonibacter massiliensis, 95.0, 81.73, 0.58; GCF_003339845.1, s__Gordonibacter sp003339845, 95.0, 81.57, 0.54	87.13	11	0.9907302695848512	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
STP672.12605_R.bin.25.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Catenibacillus;s__	N/A	N/A	N/A	N/A	N/A	GCA_902363555.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Catenibacillus;s__Catenibacillus sp902363555	78.99	0.52	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Catenibacillus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_905199445.1, s__Catenibacillus sp900553975, 95.0, 77.3, 0.04; GCF_014202115.1, s__Catenibacillus scindens, 95.0, 76.58, 0.11; GCA_018713145.1, s__Catenibacillus faecavium, 95.0, 76.44, 0.08; GCA_018711005.1, s__Catenibacillus faecigallinarum, 95.0, 76.37, 0.12; GCA_018369015.1, s__Catenibacillus sp018369015, 95.0, 76.24, 0.1	20.49	11	0.9469253882272974	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
STP672.12605_R.bin.26.fa	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	53.71	11	0.9788494983865204	N/A
STP672.12605_R.bin.27.fa	d__Bacteria;p__Firmicutes_B;c__Dehalobacteriia;o__UBA4068;f__UBA5755;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_B;c__Dehalobacteriia;o__UBA4068;f__UBA5755;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	92.53	11	0.7924262124066574	N/A
