Genome	Completeness	Contamination	Strain heterogeneity	GUNC pass	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	# predicted genes	5S rRNA	23S rRNA	16S rRNA	# tRNA	# tRNA types
STP748.12607_R.bin.20	80.43	1.82	28.57	True	2090013	0	582	582	3965	3965	3591	3591	22722	22722	54.5	2.58	90.48	2404	Yes	No	No	21	15
STP748.12607_R.bin.21	96.8	2.38	0.0	True	2939375	0	59	59	84318	84318	49819	49819	195175	195175	50.2	2.35	91.99	2409	Yes	No	No	44	20
STP748.12607_R.bin.22	89.29	0.68	0.0	False	2541307	0	593	593	5360	5360	4285	4285	25799	25799	50.3	3.18	91.35	2724	No	No	Yes	40	18
STP748.12607_R.bin.23	98.28	106.51	2.9	False	4898626	0	2037	2037	2337	2337	2404	2404	22133	22133	31.3	4.13	85.72	6084	Yes	No	No	78	22
STP748.12607_R.bin.24	90.13	83.33	8.33	True	3428596	0	815	815	5106	5106	4206	4206	26480	26480	37.2	2.83	90.68	3582	Yes	No	No	42	18
STP748.12607_R.bin.25	0.0	0.0	0.0	True	262209	0	87	87	3570	3570	3013	3013	7172	7172	51.4	2.29	80.56	272	No	No	No	0	0
STP748.12607_R.bin.26	8.62	0.0	0.0	True	450096	0	202	202	2215	2215	2228	2228	4626	4626	60.1	2.47	91.88	468	No	No	No	2	2
STP748.12607_R.bin.27	82.21	3.66	7.69	False	2587634	0	505	505	6626	6626	5124	5124	26950	26950	38.3	2.07	91.02	2737	No	No	No	28	13
STP748.12607_R.bin.28	30.48	0.27	0.0	False	807228	0	347	347	2293	2293	2326	2326	6888	6888	58.2	2.3	89.97	902	No	No	No	4	2
STP748.12607_R.bin.29	87.92	2.54	0.0	True	2685832	0	441	441	7727	7727	6090	6090	38123	38123	40.6	2.14	92.88	2520	Yes	No	No	33	15
STP748.12607_R.bin.3	58.07	2.89	41.18	True	2957777	0	595	595	6190	6190	4971	4971	24191	24191	50.7	3.41	90.79	2630	Yes	Yes	No	23	14
STP748.12607_R.bin.30	97.96	0.68	0.0	True	2547406	0	68	68	56940	56940	37461	37461	175611	175611	49.7	1.72	91.28	2185	Yes	No	No	47	21
STP748.12607_R.bin.31	0.0	0.0	0.0	True	522025	0	161	161	3469	3469	3242	3242	18809	18809	45.8	1.72	81.37	651	No	No	No	0	0
STP748.12607_R.bin.32	0.0	0.0	0.0	True	366537	0	139	139	2764	2764	2636	2636	6920	6920	50.0	2.0	89.78	302	No	No	No	0	0
STP748.12607_R.bin.33	52.35	0.7	0.0	True	2242904	0	731	731	3229	3229	3068	3068	14370	14370	43.4	3.29	89.51	2564	Yes	No	No	17	11
STP748.12607_R.bin.4	77.59	0.0	0.0	True	1762849	0	300	300	7630	7630	5876	5876	25065	25065	44.0	2.2	91.39	1741	Yes	No	Yes	26	15
STP748.12607_R.bin.5	46.57	0.0	0.0	False	1074374	0	402	402	2749	2749	2672	2672	10730	10730	55.1	1.97	93.14	1243	No	No	No	11	8
STP748.12607_R.bin.6	30.75	4.89	18.92	False	1798127	0	927	927	1873	1873	1939	1939	6434	6434	65.9	3.51	93.2	2326	No	No	No	2	2
STP748.12607_R.bin.7	94.83	10.97	5.56	True	2460377	0	398	398	8214	8214	6181	6181	43537	43537	53.9	2.35	91.14	2283	No	No	No	31	17
STP748.12607_R.bin.8	53.11	0.0	0.0	True	818332	0	307	307	2646	2646	2665	2665	9796	9796	48.0	1.95	91.4	969	No	No	No	17	13
STP748.12607_R.bin.9	61.51	7.69	50.0	True	2214810	0	844	844	2635	2635	2624	2624	14210	14210	66.5	2.87	91.36	2743	No	No	No	21	14
