Genome	Completeness	Contamination	Strain heterogeneity	GUNC pass	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	# predicted genes	5S rRNA	23S rRNA	16S rRNA	# tRNA	# tRNA types
STP294.12602_R.bin.48	75.88	6.99	68.75	False	2040313	0	587	587	3910	3910	3475	3475	17229	17229	60.9	2.45	89.59	2166	No	No	No	17	13
STP294.12602_R.bin.49	8.33	0.0	0.0	True	1718383	0	464	464	4242	4242	3703	3703	21269	21269	55.0	3.46	91.56	1883	Yes	No	No	3	2
STP294.12602_R.bin.5	13.79	0.0	0.0	False	326160	0	150	150	2205	2205	2174	2174	5206	5206	59.7	2.03	91.94	385	No	No	No	0	0
STP294.12602_R.bin.50	70.71	5.2	11.11	False	1202233	0	243	243	5693	5693	4947	4947	25428	25428	42.0	1.49	90.95	1291	No	No	No	17	10
STP294.12602_R.bin.51	36.21	1.72	100.0	False	1096852	0	386	386	2957	2957	2841	2841	19559	19559	40.9	2.01	94.34	1280	No	No	No	8	6
STP294.12602_R.bin.52	50.0	1.72	0.0	True	1623831	0	482	482	3603	3603	3368	3368	14369	14369	50.9	2.56	89.61	1814	Yes	No	No	11	9
STP294.12602_R.bin.53	98.43	351.52	63.33	False	28432323	0	1520	1520	43530	43530	18705	18705	340494	340494	41.3	3.63	90.71	23471	Yes	No	No	336	22
STP294.12602_R.bin.54	81.95	4.59	28.57	False	3218161	0	599	599	6791	6791	5372	5372	30153	30153	53.7	2.81	89.15	3305	Yes	No	No	24	13
STP294.12602_R.bin.55	93.42	107.32	24.07	False	11693435	0	1014	1014	20147	20147	11531	11531	112337	112337	42.1	2.67	90.98	9881	Yes	No	Yes	108	21
STP294.12602_R.bin.56	0.0	0.0	0.0	False	323336	0	166	166	1860	1860	1947	1947	5037	5037	64.7	2.86	92.76	429	No	No	No	0	0
STP294.12602_R.bin.57	0.46	0.46	0.0	True	275858	0	5	5	68916	68916	55171	55171	106085	106085	33.0	0.71	92.06	235	No	No	No	0	0
STP294.12602_R.bin.58	98.12	0.83	0.0	True	2860679	0	290	290	15540	15540	9864	9864	48877	48877	50.6	2.52	87.03	2739	No	No	No	23	14
STP294.12602_R.bin.59	0.31	0.0	0.0	False	203996	0	33	33	9021	9021	6181	6181	21635	21635	32.1	1.79	89.41	217	No	No	No	6	4
STP294.12602_R.bin.6	0.63	0.47	0.0	False	291923	0	6	6	98365	98365	48653	48653	107335	107335	34.3	1.32	89.61	451	No	No	No	13	11
STP294.12602_R.bin.60	83.14	5.68	23.08	False	2482681	0	611	611	4643	4643	4063	4063	18273	18273	57.4	2.45	88.08	2315	No	No	No	30	16
STP294.12602_R.bin.61	4.17	0.0	0.0	False	530184	0	211	211	2611	2611	2512	2512	5504	5504	45.6	1.88	92.88	608	No	No	No	3	3
STP294.12602_R.bin.62	97.39	1.47	20.0	False	3250215	0	345	345	12961	12961	9420	9420	49745	49745	63.3	1.28	91.63	3414	Yes	No	No	42	21
STP294.12602_R.bin.63	99.12	15.44	26.09	False	4018380	0	473	473	11366	11366	8495	8495	40148	40148	46.4	2.39	89.21	3933	No	No	No	35	16
STP294.12602_R.bin.64	85.49	80.17	52.54	True	8703014	0	410	410	39636	39636	21226	21226	237379	237379	42.8	2.58	89.84	7107	Yes	No	No	102	21
STP294.12602_R.bin.65	54.31	2.54	75.0	False	1725337	0	595	595	3077	3077	2899	2899	13018	13018	58.6	3.21	86.98	1920	No	No	No	11	7
STP294.12602_R.bin.66	43.42	12.07	25.0	False	4598995	0	1844	1844	2504	2504	2494	2494	11984	11984	40.6	1.61	91.12	5102	No	No	No	29	17
STP294.12602_R.bin.67	7.02	0.0	0.0	False	222274	0	94	94	2403	2403	2364	2364	5085	5085	49.4	1.42	92.85	261	No	No	No	0	0
STP294.12602_R.bin.68	97.53	2.57	100.0	False	3465893	0	364	364	14957	14957	9521	9521	65132	65132	64.7	1.9	90.28	3635	No	No	No	41	19
STP294.12602_R.bin.69	0.0	0.0	0.0	True	501410	0	35	35	20537	20537	14326	14326	70283	70283	45.0	2.52	87.28	527	No	No	No	4	3
STP294.12602_R.bin.7	0.16	0.0	0.0	True	279994	0	23	23	14667	14667	12173	12173	35083	35083	29.9	1.36	92.74	241	No	No	No	0	0
STP294.12602_R.bin.70	89.46	3.8	66.67	False	2576246	0	617	617	4884	4884	4175	4175	18185	18185	47.5	2.4	90.76	2768	No	No	No	24	16
STP294.12602_R.bin.71	13.79	3.45	50.0	False	2811049	0	992	992	2850	2850	2833	2833	11446	11446	43.7	1.83	94.57	2733	No	No	No	3	2
STP294.12602_R.bin.72	85.87	102.38	31.52	False	9919569	0	1895	1895	6660	6660	5234	5234	51720	51720	36.2	2.0	85.23	10854	Yes	No	No	111	22
STP294.12602_R.bin.73	93.77	3.74	16.67	False	3777037	0	143	143	41022	41022	26412	26412	194731	194731	58.5	2.91	87.14	3341	Yes	No	No	47	21
STP294.12602_R.bin.74	96.47	181.87	8.64	False	7894571	0	2198	2198	3864	3864	3591	3591	23214	23214	54.6	2.7	90.19	8143	Yes	No	No	63	16
STP294.12602_R.bin.75	0.0	0.0	0.0	True	771412	0	152	152	5536	5536	5075	5075	39421	39421	47.6	1.81	83.66	956	No	No	No	12	7
STP294.12602_R.bin.76	75.9	0.89	0.0	False	1947866	0	459	459	4671	4671	4243	4243	31323	31323	55.5	2.29	92.42	2080	Yes	No	Yes	11	7
STP294.12602_R.bin.77	100.0	584.0	0.56	False	30783579	0	11406	11406	2664	2664	2698	2698	116503	116503	32.6	4.25	83.47	37912	Yes	No	No	407	23
STP294.12602_R.bin.78	96.71	182.97	29.63	False	8580122	0	1576	1576	7728	7728	5444	5444	61033	61033	60.2	2.79	89.42	8794	Yes	No	No	102	19
STP294.12602_R.bin.79	4.17	0.0	0.0	True	311210	0	129	129	2472	2472	2412	2412	6528	6528	51.6	1.62	90.94	381	No	No	No	0	0
STP294.12602_R.bin.8	80.34	10.34	75.0	True	5205104	0	251	251	34569	34569	20737	20737	141105	141105	44.2	2.86	91.08	4240	Yes	No	No	67	20
STP294.12602_R.bin.80	81.02	9.53	23.81	False	3884987	0	854	854	5752	5752	4549	4549	39177	39177	57.8	2.41	90.57	4146	Yes	No	No	24	15
STP294.12602_R.bin.81	25.86	0.0	0.0	True	2189310	0	768	768	2969	2969	2850	2850	14822	14822	63.1	2.48	89.09	2536	No	No	No	14	9
STP294.12602_R.bin.82	0.0	0.0	0.0	False	520394	0	189	189	2754	2754	2753	2753	7991	7991	52.0	1.93	89.42	634	Yes	No	No	5	5
STP294.12602_R.bin.83	79.3	0.0	0.0	True	3633603	0	291	291	17381	17381	12486	12486	70595	70595	48.9	2.01	92.87	3261	No	No	No	29	16
STP294.12602_R.bin.84	84.04	0.7	0.0	True	1575066	0	318	318	5984	5984	4953	4953	26203	26203	46.2	3.27	91.02	1589	No	No	Yes	27	16
STP294.12602_R.bin.85	91.51	0.67	0.0	False	2546487	0	293	293	15460	15460	8691	8691	86181	86181	44.2	2.31	88.24	2453	Yes	No	No	34	17
STP294.12602_R.bin.86	68.73	3.45	0.0	True	1760455	0	506	506	3942	3942	3479	3479	14229	14229	58.6	3.04	90.2	1994	No	No	Yes	15	12
STP294.12602_R.bin.87	0.0	0.0	0.0	True	392664	0	172	172	2249	2249	2282	2282	4895	4895	47.5	1.87	90.23	495	No	No	No	2	2
STP294.12602_R.bin.88	36.55	5.17	0.0	False	2661566	0	575	575	5274	5274	4628	4628	42758	42758	44.4	2.31	91.3	2366	No	No	No	18	11
STP294.12602_R.bin.89	62.07	1.72	0.0	False	1159537	0	310	310	4120	4120	3740	3740	15302	15302	49.7	2.17	89.69	1222	No	No	No	11	7
STP294.12602_R.bin.9	41.0	3.66	0.0	False	1440838	0	574	574	2499	2499	2510	2510	9414	9414	55.0	2.88	91.64	1732	No	No	No	5	4
STP294.12602_R.bin.90	87.78	0.45	0.0	True	1845315	0	306	306	7570	7570	6030	6030	50839	50839	38.1	2.19	82.92	1676	No	Yes	No	16	13
STP294.12602_R.bin.91	91.27	1.27	88.89	False	2120635	0	241	241	12493	12493	8799	8799	49467	49467	57.8	2.52	90.28	2041	Yes	No	No	24	17
STP294.12602_R.bin.92	99.63	1.34	0.0	False	3349348	0	81	81	72208	72208	41349	41349	330955	330955	35.0	1.47	85.94	3163	No	No	Yes	32	18
STP294.12602_R.bin.93	8.33	4.17	0.0	False	1286313	0	404	404	3497	3497	3183	3183	11408	11408	48.0	2.3	92.88	1375	No	No	No	4	4
STP294.12602_R.bin.94	22.81	3.51	0.0	False	1327194	0	501	501	2723	2723	2649	2649	8564	8564	52.9	2.51	93.83	1547	No	No	No	3	3
STP294.12602_R.bin.95	35.24	0.0	0.0	False	1652963	0	659	659	2542	2542	2508	2508	8043	8043	59.5	2.81	93.57	1841	No	No	No	3	3
STP294.12602_R.bin.96	95.93	5.74	17.65	True	2104711	0	67	67	47914	47914	31413	31413	109248	109248	45.9	1.3	87.8	1811	No	No	No	31	17
STP294.12602_R.bin.97	95.99	2.4	71.43	False	3303571	0	495	495	8600	8600	6673	6673	32507	32507	52.2	2.75	89.6	3271	Yes	No	Yes	33	16
STP294.12602_R.bin.98	81.21	4.88	60.0	False	2755622	0	418	418	9223	9223	6592	6592	59976	59976	56.2	2.47	90.17	2617	No	No	No	15	12
STP294.12602_R.bin.99	97.13	2.15	0.0	False	4496031	0	152	152	129797	129797	29579	29579	279325	279325	40.8	2.34	89.56	3896	Yes	No	Yes	54	21
