Genome	Completeness	Contamination	Strain heterogeneity	GUNC pass	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	# predicted genes	5S rRNA	23S rRNA	16S rRNA	# tRNA	# tRNA types
STP572.12604_R.bin.49	89.37	0.0	0.0	True	1491517	0	23	23	79502	79502	64848	64848	310946	310946	49.3	1.83	87.8	1384	Yes	Yes	No	46	22
STP572.12604_R.bin.5	92.21	3.69	50.0	True	3112033	0	293	293	16388	16388	10621	10621	66243	66243	50.7	2.05	91.17	2649	Yes	No	No	39	17
STP572.12604_R.bin.50	49.11	1.75	0.0	True	1505381	0	541	541	2870	2870	2782	2782	11582	11582	54.9	2.24	91.59	1621	No	No	No	4	4
STP572.12604_R.bin.51	92.57	1.72	0.0	True	2281512	0	31	31	121442	121442	73597	73597	275515	275515	56.6	1.27	91.48	1991	No	No	No	45	21
STP572.12604_R.bin.52	96.31	1.34	0.0	True	2010403	0	99	99	34971	34971	20307	20307	126085	126085	52.9	1.53	89.36	1838	Yes	No	No	45	21
STP572.12604_R.bin.53	100.0	250.42	8.56	False	14989383	0	3341	3341	5815	5815	4486	4486	93041	93041	39.0	2.75	88.64	16594	Yes	No	Yes	183	23
STP572.12604_R.bin.54	96.77	1.08	0.0	True	3084176	0	79	79	58733	58733	39040	39040	217123	217123	55.5	1.78	89.96	2760	Yes	No	No	31	18
STP572.12604_R.bin.55	33.02	0.06	0.0	False	766611	0	334	334	2296	2296	2295	2295	6734	6734	65.0	2.65	93.14	927	No	No	No	2	2
STP572.12604_R.bin.56	80.17	12.02	13.33	True	1511214	0	401	401	4549	4549	3768	3768	18036	18036	34.8	1.58	93.07	1833	Yes	No	No	21	13
STP572.12604_R.bin.57	98.36	0.17	50.0	True	2992775	0	92	92	57437	57437	32530	32530	195830	195830	65.2	1.57	92.65	2826	Yes	No	No	48	22
STP572.12604_R.bin.58	16.67	8.33	100.0	True	1335301	0	173	173	10865	10865	7718	7718	66970	66970	39.6	1.91	87.3	1492	No	No	No	23	11
STP572.12604_R.bin.59	100.0	690.0	12.22	False	29654435	0	7711	7711	4514	4514	3845	3845	155340	155340	29.3	2.86	85.94	32589	Yes	No	No	339	23
STP572.12604_R.bin.6	27.59	0.0	0.0	False	2368080	0	640	640	4037	4037	3700	3700	24108	24108	50.5	2.86	90.56	2048	No	No	No	6	5
STP572.12604_R.bin.60	14.66	1.72	100.0	True	704710	0	290	290	2473	2473	2430	2430	4925	4925	55.0	1.91	93.06	662	No	No	No	2	2
STP572.12604_R.bin.61	35.89	0.0	0.0	True	2260227	0	743	743	3133	3133	3042	3042	19107	19107	48.1	2.1	88.61	2431	Yes	No	No	17	10
STP572.12604_R.bin.62	87.23	0.23	0.0	True	1673193	0	53	53	69177	69177	31569	31569	161874	161874	38.6	1.87	88.3	1586	Yes	Yes	No	31	16
STP572.12604_R.bin.63	64.75	1.8	0.0	True	1584803	0	499	499	3562	3562	3175	3175	11517	11517	58.9	2.35	92.92	1641	No	No	No	9	7
STP572.12604_R.bin.64	89.56	1.19	25.0	True	2383248	0	481	481	6083	6083	4954	4954	22619	22619	59.2	2.86	89.16	2357	Yes	No	No	29	17
STP572.12604_R.bin.65	66.94	1.27	0.0	True	1293942	0	146	146	12782	12782	8862	8862	36083	36083	43.5	1.89	93.54	1344	Yes	No	No	24	14
STP572.12604_R.bin.66	76.95	0.5	100.0	False	1635702	0	427	427	4521	4521	3830	3830	15619	15619	54.0	1.78	93.19	1903	No	No	No	26	16
STP572.12604_R.bin.67	99.41	0.3	0.0	True	3080098	0	139	139	31954	31954	22158	22158	138516	138516	54.0	2.08	88.79	2717	Yes	No	No	44	20
STP572.12604_R.bin.68	96.35	3.38	0.0	True	2735699	0	248	248	16625	16625	11031	11031	55115	55115	43.1	2.17	88.62	2767	Yes	No	No	67	21
STP572.12604_R.bin.69	86.38	1.36	0.0	True	1984503	0	229	229	12011	12011	8665	8665	52434	52434	48.1	2.45	92.51	1859	No	No	No	33	18
STP572.12604_R.bin.7	55.99	0.91	0.0	True	1422638	0	425	425	3700	3700	3347	3347	17425	17425	40.7	2.29	92.33	1510	No	No	No	6	5
STP572.12604_R.bin.70	48.67	1.34	0.0	False	1102442	0	392	392	2913	2913	2812	2812	10802	10802	36.9	3.0	85.72	1185	No	Yes	No	7	5
STP572.12604_R.bin.71	20.69	0.86	100.0	True	2339756	0	95	95	67206	67206	24629	24629	182165	182165	27.2	1.26	85.78	2280	Yes	No	No	10	10
STP572.12604_R.bin.72	26.55	0.0	0.0	True	322057	0	138	138	2358	2358	2333	2333	4870	4870	44.6	1.63	92.96	403	No	No	No	7	7
STP572.12604_R.bin.73	54.73	4.78	33.33	True	2683173	0	679	679	4502	4502	3951	3951	17950	17950	46.1	2.95	89.98	2437	Yes	No	No	19	11
STP572.12604_R.bin.74	0.0	0.0	0.0	True	300385	0	124	124	2485	2485	2422	2422	6867	6867	54.7	1.98	92.55	309	No	No	No	0	0
STP572.12604_R.bin.75	4.17	0.0	0.0	True	230834	0	95	95	2408	2408	2429	2429	7700	7700	42.0	1.54	92.87	272	No	No	No	0	0
STP572.12604_R.bin.76	91.06	2.46	25.0	True	2728568	0	97	97	65961	65961	28129	28129	170055	170055	45.4	2.34	93.25	2356	Yes	No	No	39	20
STP572.12604_R.bin.77	89.52	0.43	0.0	True	1674178	0	36	36	81904	81904	46504	46504	305661	305661	45.2	1.98	92.76	1343	No	No	No	35	19
STP572.12604_R.bin.78	91.07	54.2	42.13	False	6280570	0	1233	1233	6730	6730	5093	5093	36916	36916	45.7	2.46	92.22	5576	No	No	Yes	50	20
STP572.12604_R.bin.79	97.7	1.54	20.0	False	3408804	0	165	165	60025	60025	20659	20659	297786	297786	36.4	1.98	89.12	3268	No	No	No	50	20
STP572.12604_R.bin.8	6.9	0.0	0.0	False	356857	0	151	151	2363	2363	2363	2363	5915	5915	56.1	2.1	94.59	394	No	No	No	1	1
STP572.12604_R.bin.80	99.04	0.0	0.0	True	2361328	0	86	86	42934	42934	27457	27457	79417	79417	51.7	1.69	90.01	1916	Yes	No	Yes	45	19
STP572.12604_R.bin.81	0.0	0.0	0.0	False	358668	0	183	183	1935	1935	1959	1959	3966	3966	70.4	1.96	94.14	473	No	No	No	2	2
STP572.12604_R.bin.82	95.92	2.69	33.33	True	5263911	0	114	114	77265	77265	46174	46174	306934	306934	42.2	1.95	91.18	4245	Yes	No	No	61	21
STP572.12604_R.bin.83	88.1	1.21	0.0	True	1652392	0	58	58	57002	57002	28489	28489	155687	155687	38.4	2.67	89.28	1574	Yes	Yes	No	44	21
STP572.12604_R.bin.84	59.06	0.0	0.0	True	1760185	0	56	56	106444	106444	31431	31431	290834	290834	37.1	2.4	87.43	1889	Yes	No	No	33	17
STP572.12604_R.bin.85	68.34	0.0	0.0	True	1059134	0	23	23	74184	74184	46049	46049	159398	159398	31.3	1.85	88.45	1046	Yes	Yes	No	40	22
STP572.12604_R.bin.86	55.06	0.0	0.0	True	977930	0	313	313	3259	3259	3124	3124	9898	9898	49.2	2.81	86.99	1103	No	No	No	9	7
STP572.12604_R.bin.87	59.73	0.06	0.0	True	1087155	0	43	43	31418	31418	25282	25282	73351	73351	34.3	0.89	89.78	1085	No	No	No	18	12
STP572.12604_R.bin.88	79.62	0.0	0.0	False	1745506	0	432	432	4548	4548	4040	4040	22919	22919	59.9	2.69	92.07	1815	No	No	No	11	9
STP572.12604_R.bin.89	6.03	0.0	0.0	True	229721	0	97	97	2408	2408	2368	2368	4679	4679	52.4	1.72	92.19	230	No	No	No	1	1
STP572.12604_R.bin.9	41.48	0.35	0.0	True	793234	0	322	322	2466	2466	2463	2463	10301	10301	44.0	2.44	89.51	937	No	No	No	3	3
STP572.12604_R.bin.90	78.2	0.0	0.0	True	1391948	0	36	36	54256	54256	38665	38665	132908	132908	42.6	1.75	86.66	1370	No	No	No	32	17
STP572.12604_R.bin.91	68.73	0.0	0.0	True	2732689	0	360	360	9469	9469	7590	7590	30735	30735	52.9	1.94	87.72	2106	No	No	No	25	17
STP572.12604_R.bin.92	5.17	0.0	0.0	True	204634	0	8	8	43155	43155	25579	25579	101512	101512	44.0	2.25	86.74	213	Yes	No	No	1	1
STP572.12604_R.bin.93	68.8	3.59	12.5	True	2345635	0	682	682	3879	3879	3439	3439	15509	15509	45.8	2.06	92.63	2500	No	No	No	8	7
STP572.12604_R.bin.94	91.01	3.37	33.33	True	1127419	0	40	40	63252	63252	28185	28185	214305	214305	25.7	1.44	90.48	1228	No	Yes	Yes	29	22
STP572.12604_R.bin.95	99.24	0.34	0.0	True	2586369	0	33	33	130891	130891	78374	78374	463555	463555	62.0	1.05	93.89	2492	Yes	No	Yes	46	22
STP572.12604_R.bin.96	94.34	1.42	0.0	False	3174664	0	173	173	35331	35331	18350	18350	182425	182425	33.8	2.01	86.11	2831	Yes	No	Yes	43	22
STP572.12604_R.bin.97	98.96	2.12	66.67	True	3528508	0	173	173	29548	29548	20396	20396	157384	157384	69.1	1.41	93.62	3478	Yes	Yes	No	43	22
STP572.12604_R.bin.98	98.31	0.0	0.0	True	2713997	0	322	322	12488	12488	8428	8428	45860	45860	46.3	2.56	89.72	2619	No	No	No	44	23
STP572.12604_R.bin.99	37.58	0.0	0.0	True	839929	0	6	6	176533	176533	139988	139988	373611	373611	38.8	0.24	88.88	807	No	No	No	6	4
