Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
STP51B.12603_R.bin.116	k__Bacteria (UID203)	5449	104	58	0.31	0.00	0.00	216996	0	21	21	23213	23213	10333	10333	34011	34011	36.9	1.52	91.78	11	242	102	2	0	0	0	0
STP51B.12603_R.bin.117	p__Bacteroidetes (UID2605)	350	315	209	93.14	0.48	100.00	2069030	0	195	195	14195	14195	10610	10610	80163	80163	44.8	2.03	83.91	11	1845	16	298	1	0	0	0
STP51B.12603_R.bin.118	k__Bacteria (UID203)	5449	104	58	39.66	1.72	0.00	1796528	0	432	432	4683	4683	4158	4158	19732	19732	47.2	1.79	91.31	11	1672	78	25	1	0	0	0
STP51B.12603_R.bin.119	root (UID1)	5656	56	24	0.00	0.00	0.00	637694	0	88	88	10950	10950	7246	7246	29881	29881	36.8	1.96	87.63	11	644	56	0	0	0	0	0
STP51B.12603_R.bin.12	root (UID1)	5656	56	24	0.00	0.00	0.00	351022	0	57	57	8807	8807	6158	6158	32586	32586	38.9	1.31	82.65	11	413	56	0	0	0	0	0
STP51B.12603_R.bin.120	p__Bacteroidetes (UID2605)	350	314	208	87.26	1.63	14.29	1808396	0	59	59	54489	54489	30650	30650	190846	190846	53.0	1.96	88.29	11	1670	53	256	4	1	0	0
STP51B.12603_R.bin.121	k__Bacteria (UID203)	5449	104	58	8.62	0.00	0.00	205991	0	22	22	11564	11564	9363	9363	43043	43043	49.0	1.10	90.58	11	199	97	7	0	0	0	0
STP51B.12603_R.bin.122	root (UID1)	5656	56	24	0.00	0.00	0.00	334080	0	150	150	2195	2195	2227	2227	6602	6602	35.9	1.78	82.83	11	516	56	0	0	0	0	0
STP51B.12603_R.bin.123	o__Clostridiales (UID1212)	172	263	149	88.05	1.57	0.00	2720704	0	89	89	76453	76453	30569	30569	182339	182339	35.9	1.99	86.24	11	2616	26	233	4	0	0	0
STP51B.12603_R.bin.124	o__Rhizobiales (UID3654)	92	481	319	64.62	1.18	14.29	1989572	0	634	634	3392	3392	3138	3138	13652	13652	58.8	1.93	89.93	11	2215	185	289	7	0	0	0
STP51B.12603_R.bin.125	f__Enterobacteriaceae (UID5124)	134	1173	336	29.46	0.07	100.00	1266033	0	11	11	131501	131501	115093	115093	273111	273111	52.3	0.82	89.12	11	1156	844	328	1	0	0	0
STP51B.12603_R.bin.126	root (UID1)	5656	56	24	12.50	4.17	100.00	1526513	0	9	9	206376	206376	169612	169612	392358	392358	51.6	0.68	88.43	11	1458	53	2	1	0	0	0
STP51B.12603_R.bin.127	k__Bacteria (UID203)	5449	104	58	9.48	0.00	0.00	345422	0	7	7	72276	72276	49346	49346	90775	90775	46.7	1.79	90.41	11	309	98	6	0	0	0	0
STP51B.12603_R.bin.128	k__Bacteria (UID203)	5449	104	58	27.59	1.72	0.00	650697	0	19	19	47300	47300	34247	34247	159485	159485	45.1	1.09	92.49	11	672	84	19	1	0	0	0
STP51B.12603_R.bin.129	k__Bacteria (UID203)	5449	104	58	82.48	81.90	22.67	4732304	0	1017	1017	5543	5543	4653	4653	51513	51513	55.3	2.20	89.25	11	4336	41	25	29	4	4	1
STP51B.12603_R.bin.13	k__Bacteria (UID203)	5449	103	57	0.16	0.00	0.00	228304	0	4	4	220945	220945	57076	57076	220945	220945	30.9	1.57	91.04	11	222	102	1	0	0	0	0
STP51B.12603_R.bin.130	root (UID1)	5656	56	24	0.46	0.46	0.00	241358	0	36	36	9574	9574	6704	6704	18779	18779	37.0	1.74	93.52	11	262	55	0	1	0	0	0
STP51B.12603_R.bin.131	k__Bacteria (UID203)	5449	104	58	64.83	12.07	22.22	3403762	0	199	199	25897	25897	17104	17104	115959	115959	47.2	1.87	90.54	11	2862	59	36	9	0	0	0
STP51B.12603_R.bin.132	p__Bacteroidetes (UID2605)	350	315	209	74.64	10.34	82.35	1999249	0	376	376	6484	6484	5317	5317	27387	27387	58.9	1.75	84.09	11	1747	110	179	22	4	0	0
STP51B.12603_R.bin.133	root (UID1)	5656	56	24	0.00	0.00	0.00	268050	0	4	4	138746	138746	67012	67012	138746	138746	51.2	0.28	89.79	11	261	56	0	0	0	0	0
STP51B.12603_R.bin.134	p__Bacteroidetes (UID2605)	350	314	208	88.85	2.40	14.29	2366252	0	294	294	10525	10525	8048	8048	30458	30458	58.2	1.82	89.73	11	1990	57	250	7	0	0	0
STP51B.12603_R.bin.135	k__Bacteria (UID203)	5449	104	58	36.13	4.08	0.00	1088387	0	356	356	3215	3215	3057	3057	18891	18891	59.4	1.80	94.42	11	1108	77	22	4	1	0	0
STP51B.12603_R.bin.136	k__Bacteria (UID203)	5449	104	58	23.28	0.00	0.00	1011955	0	314	314	3498	3498	3222	3222	10382	10382	42.2	1.47	93.05	11	993	89	15	0	0	0	0
STP51B.12603_R.bin.137	k__Bacteria (UID203)	5449	104	58	18.10	1.72	0.00	862497	0	288	288	3110	3110	2994	2994	10079	10079	43.5	1.46	92.60	11	837	93	10	1	0	0	0
STP51B.12603_R.bin.138	k__Bacteria (UID203)	5449	98	58	84.73	135.86	11.00	7208660	0	2900	2900	2457	2457	2485	2485	19744	19744	63.0	2.57	92.02	11	8121	28	26	14	12	10	8
STP51B.12603_R.bin.139	o__Clostridiales (UID1212)	172	263	149	92.73	0.67	0.00	2465235	0	117	117	30686	30686	21070	21070	103984	103984	58.0	1.83	90.57	11	2407	16	246	1	0	0	0
STP51B.12603_R.bin.14	k__Bacteria (UID203)	5449	104	58	3.45	0.00	0.00	684324	0	27	27	39212	39212	25345	25345	63759	63759	48.7	1.13	92.25	11	440	102	2	0	0	0	0
STP51B.12603_R.bin.140	f__Lachnospiraceae (UID1286)	57	420	207	63.64	1.49	0.00	2539599	0	255	255	17930	17930	9959	9959	77748	77748	44.4	1.67	90.90	11	2421	173	242	5	0	0	0
STP51B.12603_R.bin.141	o__Actinomycetales (UID1572)	580	288	173	97.21	0.69	20.00	3758817	0	255	255	23946	23946	14740	14740	103774	103774	66.5	1.96	88.81	11	3214	9	274	5	0	0	0
STP51B.12603_R.bin.142	k__Bacteria (UID203)	5449	104	58	42.16	0.00	0.00	1783047	0	9	9	299078	299078	198116	198116	873626	873626	52.4	1.66	89.87	11	1611	70	34	0	0	0	0
STP51B.12603_R.bin.143	root (UID1)	5656	56	24	0.00	0.00	0.00	382359	0	41	41	10944	10944	9325	9325	51322	51322	34.7	1.17	91.70	11	482	56	0	0	0	0	0
STP51B.12603_R.bin.144	o__Clostridiales (UID1212)	172	263	149	82.38	0.67	100.00	2080754	0	355	355	7194	7194	5861	5861	32006	32006	60.1	2.37	89.82	11	2083	59	203	1	0	0	0
STP51B.12603_R.bin.145	k__Bacteria (UID2329)	174	149	89	55.48	15.99	48.15	1034732	0	366	366	2922	2922	2827	2827	19032	19032	35.2	1.53	91.02	11	1193	69	57	21	2	0	0
STP51B.12603_R.bin.146	c__Clostridia (UID1118)	387	223	124	62.73	0.00	0.00	1216722	0	333	333	4098	4098	3653	3653	11861	11861	49.2	2.39	91.79	11	1193	96	127	0	0	0	0
STP51B.12603_R.bin.147	k__Bacteria (UID203)	5449	103	57	36.12	5.26	0.00	1819583	0	658	658	2821	2821	2765	2765	12961	12961	45.2	1.95	92.57	11	2121	79	21	3	0	0	0
STP51B.12603_R.bin.148	k__Bacteria (UID203)	5449	104	58	43.10	13.79	44.44	1549212	0	37	37	68822	68822	41870	41870	133862	133862	59.3	0.94	92.70	11	1277	78	17	9	0	0	0
STP51B.12603_R.bin.149	k__Bacteria (UID203)	5449	104	58	28.92	0.00	0.00	491213	0	186	186	2701	2701	2640	2640	8611	8611	58.3	2.12	93.89	11	560	83	21	0	0	0	0
STP51B.12603_R.bin.15	root (UID1)	5656	56	24	0.00	0.00	0.00	273347	0	9	9	46547	46547	30371	30371	107584	107584	42.8	0.70	90.45	11	206	56	0	0	0	0	0
STP51B.12603_R.bin.150	k__Bacteria (UID2569)	434	278	186	87.09	1.08	33.33	1949950	0	138	138	20149	20149	14130	14130	60706	60706	43.5	1.64	93.75	11	1633	36	239	3	0	0	0
STP51B.12603_R.bin.151	p__Bacteroidetes (UID2605)	350	314	208	92.07	7.61	38.46	2539858	0	42	42	94872	94872	60472	60472	298126	298126	57.7	1.87	91.35	11	2102	50	240	23	1	0	0
STP51B.12603_R.bin.152	f__Enterobacteriaceae (UID5054)	223	860	300	93.64	0.60	33.33	4536076	0	72	72	84396	84396	63001	63001	238517	238517	48.2	1.39	85.97	11	4086	99	755	6	0	0	0
STP51B.12603_R.bin.153	p__Bacteroidetes (UID2605)	350	315	209	93.17	0.00	0.00	2097628	0	218	218	11967	11967	9622	9622	51670	51670	46.0	2.05	89.34	11	1805	19	296	0	0	0	0
STP51B.12603_R.bin.154	o__Clostridiales (UID1212)	172	263	149	96.31	1.34	50.00	3000004	0	310	310	14125	14125	9677	9677	65197	65197	58.3	2.00	83.14	11	2795	8	253	2	0	0	0
STP51B.12603_R.bin.155	k__Bacteria (UID203)	5449	103	57	100.00	306.92	1.79	11380383	0	4032	4032	2804	2804	2822	2822	166720	166720	29.9	3.28	86.19	11	14520	0	4	25	15	19	40
STP51B.12603_R.bin.156	o__Actinomycetales (UID1572)	580	288	173	29.60	2.27	14.29	1523724	0	808	808	1823	1823	1885	1885	4699	4699	71.3	2.59	92.55	11	2123	185	96	7	0	0	0
STP51B.12603_R.bin.157	k__Bacteria (UID2569)	434	278	186	88.06	4.30	40.00	2966980	0	117	117	41755	41755	25358	25358	142716	142716	44.0	1.76	88.14	11	2518	33	235	10	0	0	0
STP51B.12603_R.bin.158	p__Bacteroidetes (UID2605)	350	314	208	95.67	7.94	54.76	2885171	0	233	233	20215	20215	12382	12382	81188	81188	52.3	2.14	88.47	11	2693	12	267	33	1	1	0
STP51B.12603_R.bin.159	o__Clostridiales (UID1212)	172	263	149	57.67	0.17	0.00	1332213	0	263	263	6483	6483	5065	5065	18261	18261	34.2	1.53	92.51	11	1313	98	164	1	0	0	0
STP51B.12603_R.bin.16	o__Clostridiales (UID1212)	172	263	149	73.72	3.02	0.00	2315096	0	93	93	38844	38844	24893	24893	153006	153006	38.1	1.41	89.51	11	2227	72	183	8	0	0	0
STP51B.12603_R.bin.160	root (UID1)	5656	56	24	4.17	0.00	0.00	1055103	0	21	21	74716	74716	50243	50243	215043	215043	50.4	1.38	87.88	11	897	55	1	0	0	0	0
STP51B.12603_R.bin.161	k__Bacteria (UID203)	5449	104	58	76.72	15.52	27.27	2577178	0	163	163	23822	23822	15810	15810	107055	107055	56.3	1.60	89.76	11	2189	52	41	11	0	0	0
STP51B.12603_R.bin.162	p__Bacteroidetes (UID2605)	350	314	208	93.61	8.60	28.00	2508406	0	47	47	94458	94458	53370	53370	188739	188739	57.8	1.70	91.98	11	2121	43	254	13	4	0	0
STP51B.12603_R.bin.163	k__Bacteria (UID203)	5449	104	58	1.72	0.00	0.00	395978	0	6	6	121748	121748	65996	65996	124374	124374	48.6	0.60	92.73	11	222	99	5	0	0	0	0
STP51B.12603_R.bin.164	root (UID1)	5656	56	24	100.00	309.31	8.74	32135235	0	9970	9970	3377	3377	3223	3223	65497	65497	36.8	2.36	87.01	11	37809	0	0	13	4	13	26
STP51B.12603_R.bin.165	k__Bacteria (UID203)	5449	104	58	0.31	0.00	0.00	206559	0	4	4	118933	118933	51639	51639	118933	118933	25.2	1.88	90.83	11	168	102	2	0	0	0	0
STP51B.12603_R.bin.166	k__Bacteria (UID2569)	434	278	186	96.42	5.38	45.45	3625345	0	75	75	85130	85130	48337	48337	274738	274738	42.8	1.81	89.00	11	2992	35	232	11	0	0	0
STP51B.12603_R.bin.167	o__Bacteroidales (UID2657)	160	492	269	44.06	4.32	52.63	2428403	0	112	112	48093	48093	21682	21682	150311	150311	45.2	1.15	91.52	11	2002	284	189	19	0	0	0
STP51B.12603_R.bin.168	o__Bacteroidales (UID2621)	198	427	260	87.50	3.33	30.77	3816444	0	75	75	68485	68485	50885	50885	164677	164677	47.5	1.56	91.47	11	3075	45	369	13	0	0	0
STP51B.12603_R.bin.169	o__Clostridiales (UID1212)	172	263	149	57.58	1.45	50.00	1624115	0	435	435	4375	4375	3733	3733	17255	17255	60.2	2.38	87.23	11	1745	108	151	4	0	0	0
STP51B.12603_R.bin.17	k__Bacteria (UID203)	5449	104	58	98.28	202.27	54.75	7827362	0	519	519	23900	23900	15081	15081	174697	174697	55.3	2.57	90.63	11	6920	2	5	38	32	22	5
STP51B.12603_R.bin.18	k__Bacteria (UID203)	5449	104	58	7.76	0.00	0.00	385421	0	177	177	2177	2177	2177	2177	8236	8236	63.5	2.56	93.96	11	500	98	6	0	0	0	0
STP51B.12603_R.bin.19	f__Lachnospiraceae (UID1255)	90	354	174	93.68	2.87	12.50	3462977	0	50	50	113909	113909	69259	69259	403751	403751	45.5	1.34	89.40	11	2995	24	322	8	0	0	0
STP51B.12603_R.bin.2	p__Bacteroidetes (UID2605)	350	316	210	98.57	0.59	0.00	2137394	0	20	20	122578	122578	106869	106869	270312	270312	45.4	0.98	91.75	11	1958	3	305	8	0	0	0
STP51B.12603_R.bin.20	root (UID1)	5656	56	24	0.00	0.00	0.00	242958	0	43	43	9479	9479	5650	5650	34216	34216	62.8	1.96	99.45	11	48	56	0	0	0	0	0
STP51B.12603_R.bin.21	o__Bacteroidales (UID2657)	160	492	269	46.87	7.95	73.53	2490704	0	342	342	9608	9608	7282	7282	69029	69029	48.4	2.47	91.04	11	2276	271	189	31	1	0	0
STP51B.12603_R.bin.22	k__Bacteria (UID203)	5449	104	58	16.30	0.00	0.00	1611772	0	352	352	5357	5357	4578	4578	18763	18763	45.6	1.74	92.18	11	1331	90	14	0	0	0	0
STP51B.12603_R.bin.23	o__Burkholderiales (UID4000)	193	412	208	57.30	0.64	50.00	1150261	0	364	364	3330	3330	3160	3160	11263	11263	49.3	2.11	90.54	11	1232	184	226	2	0	0	0
STP51B.12603_R.bin.24	k__Bacteria (UID203)	5449	104	58	73.97	5.44	9.52	2090607	0	591	591	3899	3899	3537	3537	16125	16125	57.6	2.30	90.49	11	2238	33	54	15	2	0	0
STP51B.12603_R.bin.25	c__Gammaproteobacteria (UID4266)	1097	270	172	95.35	0.00	0.00	1586109	0	10	10	261092	261092	158610	158610	409638	409638	37.4	0.99	91.90	11	1445	9	261	0	0	0	0
STP51B.12603_R.bin.26	k__Bacteria (UID203)	5449	104	58	92.95	46.03	59.26	4075515	0	152	152	51385	51385	26812	26812	196871	196871	53.6	2.67	90.79	11	3364	6	65	9	24	0	0
STP51B.12603_R.bin.27	k__Bacteria (UID203)	5449	104	58	40.52	0.00	0.00	1742764	0	445	445	4477	4477	3916	3916	16253	16253	46.5	2.57	92.69	11	1583	78	26	0	0	0	0
STP51B.12603_R.bin.28	k__Bacteria (UID203)	5449	104	58	17.24	0.00	0.00	343818	0	131	131	2673	2673	2624	2624	6481	6481	56.7	2.00	94.55	11	384	93	11	0	0	0	0
STP51B.12603_R.bin.29	k__Bacteria (UID203)	5449	103	58	47.41	0.00	0.00	2190678	0	229	229	15196	15196	9566	9566	37223	37223	45.7	1.72	92.14	11	1887	74	29	0	0	0	0
STP51B.12603_R.bin.3	f__Lachnospiraceae (UID1255)	90	354	174	84.97	2.10	0.00	3154652	0	350	350	13845	13845	9013	9013	33736	33736	44.2	2.12	92.67	11	3014	74	269	11	0	0	0
STP51B.12603_R.bin.30	o__Rhodospirillales (UID3754)	63	336	201	65.00	0.54	0.00	1334401	0	24	24	75919	75919	55600	55600	160947	160947	41.6	0.81	90.83	11	1333	90	244	2	0	0	0
STP51B.12603_R.bin.31	root (UID1)	5656	56	24	4.17	0.00	0.00	235637	0	89	89	2752	2752	2647	2647	6655	6655	44.8	1.51	91.43	11	259	55	1	0	0	0	0
STP51B.12603_R.bin.32	root (UID1)	5656	56	24	0.00	0.00	0.00	432389	0	71	71	7756	7756	6089	6089	30821	30821	53.1	1.29	91.88	11	379	56	0	0	0	0	0
STP51B.12603_R.bin.33	k__Bacteria (UID203)	5449	104	58	31.90	0.00	0.00	1277167	0	303	303	4739	4739	4215	4215	31883	31883	57.6	2.31	86.40	11	1271	83	21	0	0	0	0
STP51B.12603_R.bin.34	o__Clostridiales (UID1212)	172	263	149	89.25	1.40	0.00	2110720	0	378	378	6947	6947	5583	5583	24314	24314	56.5	2.64	89.16	11	2088	26	232	5	0	0	0
STP51B.12603_R.bin.35	o__Bacteroidales (UID2621)	198	427	260	92.31	29.88	35.38	6844856	0	332	332	35215	35215	20617	20617	123718	123718	42.9	1.72	90.53	11	5551	60	273	76	18	0	0
STP51B.12603_R.bin.36	k__Bacteria (UID203)	5449	104	58	22.41	1.72	100.00	1908455	0	47	47	83474	83474	40605	40605	188872	188872	47.8	1.46	92.12	11	1403	90	13	1	0	0	0
STP51B.12603_R.bin.37	k__Bacteria (UID203)	5449	104	58	10.19	0.00	0.00	243315	0	94	94	2600	2600	2588	2588	6643	6643	52.4	1.67	91.95	11	298	88	16	0	0	0	0
STP51B.12603_R.bin.38	root (UID1)	5656	56	24	4.17	4.17	0.00	662849	0	177	177	4274	4274	3744	3744	15046	15046	46.5	1.33	93.07	11	621	55	0	1	0	0	0
STP51B.12603_R.bin.39	k__Bacteria (UID203)	5449	104	58	20.69	0.00	0.00	850143	0	332	332	2678	2678	2560	2560	7499	7499	43.7	1.87	91.30	11	875	92	12	0	0	0	0
STP51B.12603_R.bin.4	o__Bacteroidales (UID2621)	198	427	260	95.66	1.69	22.22	4236440	0	216	216	29131	29131	19613	19613	99841	99841	44.4	2.43	90.67	11	3521	45	373	9	0	0	0
STP51B.12603_R.bin.40	p__Bacteroidetes (UID2605)	350	315	209	96.51	0.00	0.00	1793421	0	67	67	37400	37400	26767	26767	89982	89982	51.3	1.76	93.26	11	1596	16	299	0	0	0	0
STP51B.12603_R.bin.41	o__Clostridiales (UID1212)	172	263	149	54.68	0.67	0.00	1745163	0	609	609	3044	3044	2865	2865	13143	13143	57.4	2.32	89.36	11	1855	127	135	1	0	0	0
STP51B.12603_R.bin.42	k__Bacteria (UID2569)	434	278	186	96.24	1.61	0.00	1941928	0	32	32	122781	122781	60685	60685	234372	234372	37.4	1.40	95.12	11	1606	7	267	4	0	0	0
STP51B.12603_R.bin.43	k__Bacteria (UID203)	5449	104	58	55.52	5.17	66.67	3467882	0	299	299	17651	17651	11598	11598	77761	77761	47.9	2.59	91.11	11	3012	68	33	3	0	0	0
STP51B.12603_R.bin.44	k__Bacteria (UID2982)	88	229	147	91.35	0.28	14.29	2454983	0	71	71	46822	46822	34577	34577	123908	123908	49.1	1.61	92.21	11	2151	16	206	7	0	0	0
STP51B.12603_R.bin.45	k__Bacteria (UID203)	5449	104	58	31.85	0.86	0.00	733702	0	350	350	2050	2050	2096	2096	4658	4658	40.6	2.67	91.22	11	977	77	26	1	0	0	0
STP51B.12603_R.bin.46	k__Bacteria (UID203)	5449	104	58	18.97	1.72	0.00	430175	0	150	150	3085	3085	2867	2867	8878	8878	55.6	2.13	93.54	11	459	93	10	1	0	0	0
STP51B.12603_R.bin.47	o__Clostridiales (UID1212)	172	263	149	92.84	0.56	0.00	1746378	0	34	34	88268	88268	51364	51364	182270	182270	35.2	2.41	84.00	11	1386	14	247	2	0	0	0
STP51B.12603_R.bin.48	p__Bacteroidetes (UID2605)	350	315	209	98.26	2.20	28.57	2544104	0	98	98	37272	37272	25960	25960	118631	118631	40.3	1.78	90.19	11	2130	8	300	7	0	0	0
STP51B.12603_R.bin.49	k__Bacteria (UID203)	5449	104	58	72.57	24.75	10.14	1942331	0	421	421	5455	5455	4613	4613	16628	16628	51.7	1.76	87.20	11	1834	28	46	12	17	1	0
STP51B.12603_R.bin.5	o__Bacteroidales (UID2657)	160	492	269	83.65	11.00	20.37	4598618	0	477	477	13081	13081	9640	9640	82714	82714	46.0	2.81	90.27	11	3797	106	332	54	0	0	0
STP51B.12603_R.bin.50	k__Bacteria (UID203)	5449	104	58	84.48	21.55	26.32	5709809	0	218	218	58106	58106	26191	26191	180803	180803	42.1	2.10	90.02	11	4839	47	44	10	3	0	0
STP51B.12603_R.bin.51	k__Bacteria (UID203)	5449	104	58	25.86	0.00	0.00	1452293	0	328	328	4924	4924	4427	4427	26440	26440	50.2	1.85	93.14	11	1288	88	16	0	0	0	0
STP51B.12603_R.bin.52	root (UID1)	5656	56	24	100.00	100.00	42.86	3911721	0	202	202	28436	28436	19364	19364	171039	171039	38.5	1.67	86.62	11	3876	0	0	56	0	0	0
STP51B.12603_R.bin.53	k__Bacteria (UID2982)	88	229	147	63.88	0.00	0.00	1804163	0	478	478	4193	4193	3774	3774	13789	13789	53.3	2.28	90.99	11	1704	88	141	0	0	0	0
STP51B.12603_R.bin.54	root (UID1)	5656	56	24	0.00	0.00	0.00	226652	0	5	5	160601	160601	45330	45330	160601	160601	27.1	0.97	81.53	11	216	56	0	0	0	0	0
STP51B.12603_R.bin.55	root (UID1)	5656	56	24	4.17	0.00	0.00	544432	0	233	233	2336	2336	2336	2336	6787	6787	47.6	1.94	92.99	11	684	55	1	0	0	0	0
STP51B.12603_R.bin.56	o__Clostridiales (UID1226)	155	278	158	89.26	3.16	0.00	4001489	0	421	421	14446	14446	9504	9504	74599	74599	45.5	1.69	91.73	11	3823	61	212	5	0	0	0
STP51B.12603_R.bin.57	k__Bacteria (UID2982)	88	230	148	55.26	0.17	0.00	1139639	0	392	392	2922	2922	2907	2907	13141	13141	50.8	2.31	90.82	11	1198	100	129	1	0	0	0
STP51B.12603_R.bin.58	root (UID1)	5656	56	24	0.00	0.00	0.00	751873	0	129	129	7752	7752	5828	5828	23195	23195	35.4	1.86	88.54	11	836	56	0	0	0	0	0
STP51B.12603_R.bin.59	p__Bacteroidetes (UID2605)	350	315	209	87.95	0.21	25.00	2249517	0	372	372	7747	7747	6047	6047	27474	27474	49.5	2.17	86.64	11	1919	44	267	4	0	0	0
STP51B.12603_R.bin.6	k__Bacteria (UID203)	5449	98	58	94.20	89.59	21.43	5300675	0	836	836	8208	8208	6340	6340	49768	49768	61.2	2.44	85.70	11	5029	17	16	59	5	0	1
STP51B.12603_R.bin.60	p__Bacteroidetes (UID2605)	350	314	208	98.56	1.36	8.33	2727810	0	202	202	19481	19481	13504	13504	64840	64840	48.0	2.01	86.77	11	2238	21	281	12	0	0	0
STP51B.12603_R.bin.61	k__Bacteria (UID203)	5449	103	58	100.00	113.57	48.53	5109538	0	669	669	15656	15656	7637	7637	88388	88388	39.4	2.75	89.12	11	5533	0	3	85	13	2	0
STP51B.12603_R.bin.62	k__Bacteria (UID203)	5449	104	58	83.10	34.17	58.33	2839800	0	530	530	6376	6376	5358	5358	37779	37779	58.3	2.35	88.02	11	2946	34	38	30	2	0	0
STP51B.12603_R.bin.63	o__Actinomycetales (UID1696)	455	311	187	92.78	3.28	30.00	6607083	0	1287	1287	6650	6650	5133	5133	29562	29562	71.3	2.36	89.04	11	7065	24	277	10	0	0	0
STP51B.12603_R.bin.64	k__Bacteria (UID203)	5449	104	58	10.34	0.00	0.00	980304	0	191	191	6416	6416	5132	5132	23801	23801	50.1	1.86	91.57	11	860	98	6	0	0	0	0
