k141_7056	976	phylum	Bacteroidetes	56	49	25	0.520	unknown;Bacteroidetes;uc_Bacteroidetes	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes
k141_309094	2	superkingdom	Bacteria	6	5	4	0.750	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_801326	1	no rank	root	91	83	83	1.000	unknown;unknown;unknown	-_root
k141_183267	1	no rank	root	49	45	45	1.000	unknown;unknown;unknown	-_root
k141_801827	2	superkingdom	Bacteria	238	220	123	0.510	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_679639	171549	order	Bacteroidales	6	5	4	0.750	unknown;Bacteroidetes;uc_Bacteroidales	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales
k141_930740	2	superkingdom	Bacteria	105	94	61	0.630	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_931278	171549	order	Bacteroidales	47	41	22	0.500	unknown;Bacteroidetes;uc_Bacteroidales	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales
k141_315026	1	no rank	root	88	76	76	1.000	unknown;unknown;unknown	-_root
k141_933578	2	superkingdom	Bacteria	86	82	51	0.570	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_812469	1	no rank	root	29	26	26	1.000	unknown;unknown;unknown	-_root
k141_938384	1	no rank	root	107	94	94	1.000	unknown;unknown;unknown	-_root
k141_441950	2	superkingdom	Bacteria	121	109	61	0.540	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_815006	2	superkingdom	Bacteria	46	39	22	0.590	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_197817	1	no rank	root	80	76	76	1.000	unknown;unknown;unknown	-_root
k141_574891	1	no rank	root	62	60	60	1.000	unknown;unknown;unknown	-_root
k141_452384	1	no rank	root	4	4	4	1.000	unknown;unknown;unknown	-_root
k141_77965	1	no rank	root	67	62	62	1.000	unknown;unknown;unknown	-_root
k141_838096	1	no rank	root	2	2	2	1.000	unknown;unknown;unknown	-_root
k141_351537	1	no rank	root	19	17	17	1.000	unknown;unknown;unknown	-_root
k141_225934	171549	order	Bacteroidales	38	36	20	0.530	unknown;Bacteroidetes;uc_Bacteroidales	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales
k141_605498	2	superkingdom	Bacteria	11	10	9	0.900	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_852044	2	superkingdom	Bacteria	30	28	17	0.590	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_608110	2	superkingdom	Bacteria	67	60	31	0.530	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_976540	1	no rank	root	93	85	85	1.000	unknown;unknown;unknown	-_root
